project,n_calls,offsurface_density,coverage_prompt_rate,denylist_prompt_rate,denylist_fatigue_rate
p001,19286,0.993519,0.006481,0.073940,0.071606
p002,15969,0.991984,0.008016,0.098128,0.097188
p003,14998,0.991866,0.008134,0.185158,0.182158
p004,13186,0.989459,0.010541,0.118080,0.117170
p005,9404,0.995108,0.004892,0.049553,0.049234
p006,8826,0.985724,0.014276,0.088828,0.088149
p007,7484,0.997996,0.002004,0.054784,0.053982
p008,7185,0.981907,0.018093,0.068754,0.067919
p009,5330,0.979550,0.020450,0.056660,0.055722
p010,4033,0.985867,0.014133,0.068931,0.068435
p011,2582,0.982572,0.017428,0.064679,0.062742
p012,2133,0.997656,0.002344,0.060947,0.059541
p013,1997,0.937907,0.062093,0.200300,0.183776
p014,1973,0.992904,0.007096,0.069437,0.069437
p015,1841,0.991309,0.008691,0.102662,0.102118
p016,1706,0.978898,0.021102,0.078546,0.073857
p017,1438,0.991655,0.008345,0.070236,0.069541
p018,821,0.985384,0.014616,0.029233,0.028015
p019,711,0.998594,0.001406,0.192686,0.192686
p020,654,0.990826,0.009174,0.107034,0.107034
p021,483,0.981366,0.018634,0.070393,0.068323
p022,337,0.931751,0.068249,0.112760,0.080119
p023,284,0.996479,0.003521,0.000000,0.000000
p024,179,1.000000,0.000000,0.000000,0.000000
p025,132,0.962121,0.037879,0.000000,0.000000
p026,126,0.555556,0.444444,0.126984,0.047619
p027,118,0.974576,0.025424,0.033898,0.033898
p028,82,1.000000,0.000000,0.012195,0.012195
p029,40,1.000000,0.000000,0.200000,0.200000
p030,17,1.000000,0.000000,0.176471,0.176471
p031,3,1.000000,0.000000,0.000000,0.000000
