task,none,permission,oracle
hello-world,1.000000,0.400000,0.000000
csv-to-parquet,1.000000,0.400000,0.000000
fix-permissions,1.000000,0.400000,0.000000
sqlite-db-truncate,1.000000,0.400000,0.000000
configure-git-webserver,1.000000,0.400000,0.000000
count-dataset-tokens,1.000000,0.400000,0.000000
fix-git,1.000000,0.400000,0.000000
fix-pandas-version,1.000000,0.400000,0.000000
heterogeneous-dates,1.000000,0.400000,0.000000
organization-json-generator,1.000000,0.400000,0.000000
password-recovery,1.000000,0.400000,0.000000
polyglot-c-py,1.000000,0.400000,0.000000
processing-pipeline,1.000000,0.400000,0.000000
nginx-request-logging,1.000000,0.400000,0.000000
openssl-selfsigned-cert,1.000000,0.400000,0.000000
grid-pattern-transform,1.000000,0.400000,0.000000
MEAN,1.000000,0.400000,0.000000
