trial,score,best_score,kept,n_layer,n_embd,train_iters,train_steps_per_traj,lr
0,0.041666666666666664,0.041666666666666664,True,1,32,200,20,0.001
1,0.052083333333333336,0.052083333333333336,True,1,32,800,20,0.001
2,0.09375,0.09375,True,1,32,800,20,0.01
3,0.0625,0.09375,False,1,32,800,60,0.01
4,0.08333333333333333,0.09375,False,1,32,400,20,0.01
5,0.08333333333333333,0.09375,False,1,32,400,20,0.01
6,0.08333333333333333,0.09375,False,1,32,800,40,0.01
7,0.08333333333333333,0.09375,False,1,32,800,40,0.01
8,0.0625,0.09375,False,2,32,800,20,0.01
9,0.0625,0.09375,False,1,32,800,20,0.003
10,0.08333333333333333,0.09375,False,1,32,800,40,0.01
11,0.0625,0.09375,False,2,32,800,20,0.01
12,0.0625,0.09375,False,1,32,800,20,0.003
