lo,hi,mean_signal,mean_divergence,n
0.0006325353548163548,0.06251017311500619,0.01622879332954599,0.14227905907962107,120
0.06251017311500619,0.12438781087519601,0.09389753463934629,0.1858129253237031,44
0.12438781087519601,0.18626544863538583,0.1504491659186793,0.1728053664911154,35
0.18626544863538583,0.24814308639557567,0.2088378470803104,0.12538232956526132,16
0.24814308639557567,0.3100207241557655,0.2807551764104887,0.2043388429752066,11
0.3100207241557655,0.37189836191595527,0.32841349752936144,0.14545454545454548,11
0.37189836191595527,0.4337759996761451,0.4132252616843537,0.16,2
0.5575312751965248,0.6194089129567146,0.6194089129567146,0.2,1

pearson,spearman,n,mean_signal,mean_divergence
0.10595584588495578,0.17856774885968546,240,0.09513661639074696,0.1569637007364915
