policy,depth,undetected,un_lo,un_hi,n
static,0.083333,0.100625,0.085833,0.116667,8
static,0.250000,0.215208,0.205833,0.225417,8
static,0.416667,0.185833,0.160625,0.209792,8
static,0.583333,0.249792,0.227083,0.270208,8
static,0.750000,0.291250,0.268333,0.308542,8
static,0.916667,0.408333,0.363125,0.454583,8
aci,0.083333,0.081667,0.074583,0.088125,8
aci,0.250000,0.125000,0.117708,0.131875,8
aci,0.416667,0.091458,0.082500,0.100000,8
aci,0.583333,0.138333,0.133750,0.142708,8
aci,0.750000,0.158125,0.152083,0.164167,8
aci,0.916667,0.156042,0.151042,0.161875,8
