world,arm,alpha,test_undetected,conformal_rho,fixed_rho,rho_saved,saved_lo,saved_hi,breach_rate,n
network,calibrated,0.0100,0.001378,0.434984,0.974534,0.539550,0.518464,0.560978,0.396010,12
network,calibrated,0.0500,0.027868,0.373043,0.872669,0.499626,0.484096,0.514097,0.396010,12
network,calibrated,0.1000,0.066444,0.329566,0.745338,0.415772,0.403897,0.429040,0.396010,12
network,calibrated,0.2000,0.167884,0.228126,0.490676,0.262550,0.228055,0.294444,0.396010,12
network,uncalibrated,0.0100,0.005513,0.988189,0.974534,-0.013655,-0.019308,-0.006867,0.396010,12
network,uncalibrated,0.0500,0.045092,0.883480,0.872669,-0.010811,-0.046017,0.027361,0.396010,12
network,uncalibrated,0.1000,0.086419,0.784846,0.745338,-0.039508,-0.090743,0.015762,0.396010,12
network,uncalibrated,0.2000,0.179489,0.551309,0.490676,-0.060633,-0.135860,0.022931,0.396010,12
host,calibrated,0.0100,0.010587,0.430963,0.974884,0.543921,0.526339,0.562493,0.399282,12
host,calibrated,0.0500,0.048954,0.354507,0.874420,0.519913,0.498886,0.544325,0.399282,12
host,calibrated,0.1000,0.094740,0.304542,0.748839,0.444297,0.423284,0.469044,0.399282,12
host,calibrated,0.2000,0.202378,0.196903,0.497678,0.300775,0.278686,0.321346,0.399282,12
host,uncalibrated,0.0100,0.007162,0.986432,0.974884,-0.011548,-0.018518,-0.002075,0.399282,12
host,uncalibrated,0.0500,0.045535,0.889425,0.874420,-0.015005,-0.043969,0.014923,0.399282,12
host,uncalibrated,0.1000,0.093479,0.777653,0.748839,-0.028814,-0.068572,0.011010,0.399282,12
host,uncalibrated,0.2000,0.190347,0.554136,0.497678,-0.056458,-0.122058,0.012352,0.399282,12
distributed,calibrated,0.0100,0.008468,0.412804,0.974370,0.561566,0.544904,0.579784,0.391559,12
distributed,calibrated,0.0500,0.039218,0.353754,0.871851,0.518097,0.498120,0.539858,0.391559,12
distributed,calibrated,0.1000,0.086259,0.305300,0.743702,0.438402,0.417908,0.463051,0.391559,12
distributed,calibrated,0.2000,0.171053,0.220506,0.487404,0.266898,0.230851,0.302864,0.391559,12
distributed,uncalibrated,0.0100,0.007838,0.978740,0.974370,-0.004370,-0.014838,0.007762,0.391559,12
distributed,uncalibrated,0.0500,0.050630,0.880005,0.871851,-0.008154,-0.037545,0.025628,0.391559,12
distributed,uncalibrated,0.1000,0.087590,0.775246,0.743702,-0.031544,-0.071012,0.006810,0.391559,12
distributed,uncalibrated,0.2000,0.182296,0.547159,0.487404,-0.059755,-0.123281,-0.000752,0.391559,12
