label,params,task,order,keyed_dimension,faithful,free,gap,keyed_drift,knee_rho
xs,1024,service-control,0,services,1.000000,0.843750,0.156250,0.208705,0.2500
xs,1024,link-control,1,links,1.000000,1.000000,0.000000,0.118056,-1.0000
xs,1024,flow-integrity,2,flows,1.000000,0.093750,0.906250,0.977778,0.2000
s,8192,service-control,0,services,1.000000,0.968750,0.031250,0.243304,-1.0000
s,8192,link-control,1,links,1.000000,1.000000,0.000000,0.111111,-1.0000
s,8192,flow-integrity,2,flows,1.000000,0.062500,0.937500,1.000000,0.2000
m,32768,service-control,0,services,1.000000,1.000000,0.000000,0.135789,-1.0000
m,32768,link-control,1,links,1.000000,1.000000,0.000000,0.074653,-1.0000
m,32768,flow-integrity,2,flows,1.000000,0.062500,0.937500,1.000000,0.2000
l,110592,service-control,0,services,1.000000,0.968750,0.031250,0.214658,-1.0000
l,110592,link-control,1,links,1.000000,0.937500,0.062500,0.087674,0.0000
l,110592,flow-integrity,2,flows,1.000000,0.062500,0.937500,1.000000,0.2000
