sweep,label,false_alarm_rate,recall_rate,one_shot_harm,replanner_harm,amplification,replanner_success,vbc_harm,vbc_calls,full_verify_calls,full_verify_wasted,cost_saving,wasted_fraction,n_goals,n_routes
fa,fa=0,0.000000,0.000000,0.530000,0.530000,0.000000,0.470000,0.000000,1.930000,1.930000,0.000000,1.000000,0.000000,200,8
fa,fa=0.1,0.098859,0.000000,0.530000,0.550000,0.020000,0.450000,0.000000,2.020000,1.930000,0.105000,0.955446,0.054404,200,8
fa,fa=0.2,0.145754,0.000000,0.530000,0.570000,0.040000,0.430000,0.000000,2.050000,1.930000,0.135000,0.941463,0.069948,200,8
fa,fa=0.3,0.197719,0.000000,0.530000,0.580000,0.050000,0.420000,0.000000,2.130000,1.930000,0.195000,0.906103,0.101036,200,8
fa,fa=0.5,0.475285,0.000000,0.530000,0.690000,0.160000,0.310000,0.000000,2.770000,1.930000,0.475000,0.696751,0.246114,200,8
recall,recall=0,0.000000,0.000000,0.530000,0.530000,0.000000,0.470000,0.000000,1.930000,1.930000,0.000000,1.000000,0.000000,200,8
recall,recall=0.2,0.000000,0.278668,0.380000,0.420000,0.040000,0.580000,0.000000,1.685000,1.930000,0.245000,1.145401,0.126943,200,8
recall,recall=0.4,0.000000,0.536375,0.250000,0.310000,0.060000,0.690000,0.000000,1.480000,1.930000,0.450000,1.304054,0.233161,200,8
recall,recall=0.6,0.000000,0.575832,0.230000,0.295000,0.065000,0.705000,0.000000,1.450000,1.930000,0.480000,1.331034,0.248705,200,8
recall,recall=0.8,0.000000,0.872996,0.075000,0.115000,0.040000,0.885000,0.000000,1.135000,1.930000,0.795000,1.700441,0.411917,200,8
real,real M_θ,0.000000,0.003699,0.530000,0.530000,0.000000,0.470000,0.000000,1.930000,1.930000,0.000000,1.000000,0.000000,200,8
