schedule,label,rho,random_breach,adversarial_breach,mean_calls,n_episodes,horizon
uniform,uniform ρ=0,0.000,0.475000,0.885000,0.000000,200,48
uniform,uniform ρ=0.1,0.100,0.460000,0.870000,4.000000,200,48
uniform,uniform ρ=0.2,0.200,0.420000,0.860000,9.000000,200,48
uniform,uniform ρ=0.3,0.300,0.350000,0.865000,16.000000,200,48
uniform,uniform ρ=0.5,0.500,0.315000,0.835000,24.000000,200,48
uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
model,model self-targeting,,0.475000,0.885000,6.505000,200,48
write_target,write-to-key (genesis action),,0.475000,0.885000,5.160000,200,48
medium,medium (stale-read closure),,0.000000,0.000000,3.260000,200,48

true_stale,foreseen,omissions,hallucinations,recall
9002,6991,2011,10928,0.776605
