world,schedule,label,rho,random_breach,adversarial_breach,mean_calls,n_scenarios,horizon
network,uniform,uniform ρ=0,0.000,1.000000,1.000000,0.000000,200,48
network,uniform,uniform ρ=0.1,0.100,0.960000,1.000000,4.000000,200,48
network,uniform,uniform ρ=0.2,0.200,0.925000,1.000000,9.000000,200,48
network,uniform,uniform ρ=0.3,0.300,0.815000,1.000000,16.000000,200,48
network,uniform,uniform ρ=0.5,0.500,0.660000,1.000000,24.000000,200,48
network,uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
network,model,model self-targeting,,1.000000,1.000000,0.000000,200,48
network,target,target (connect-to-jewel),,0.000000,0.000000,4.070000,200,48
network,full_oracle,full oracle,,0.000000,0.000000,48.000000,200,48
network,oracle_free,perfect model (ρ=0),0.000,0.000000,0.000000,0.000000,200,48
host,uniform,uniform ρ=0,0.000,1.000000,1.000000,0.000000,200,48
host,uniform,uniform ρ=0.1,0.100,0.995000,1.000000,4.000000,200,48
host,uniform,uniform ρ=0.2,0.200,0.965000,1.000000,9.000000,200,48
host,uniform,uniform ρ=0.3,0.300,0.910000,1.000000,16.000000,200,48
host,uniform,uniform ρ=0.5,0.500,0.820000,1.000000,24.000000,200,48
host,uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
host,model,model self-targeting,,1.000000,1.000000,0.000000,200,48
host,target,target (write-to-jewel-fd),,0.000000,0.000000,3.490000,200,48
host,full_oracle,full oracle,,0.000000,0.000000,48.000000,200,48
host,oracle_free,perfect model (ρ=0),0.000,0.000000,0.000000,0.000000,200,48
distributed,uniform,uniform ρ=0,0.000,1.000000,1.000000,0.000000,200,48
distributed,uniform,uniform ρ=0.1,0.100,0.990000,1.000000,4.000000,200,48
distributed,uniform,uniform ρ=0.2,0.200,0.955000,1.000000,9.000000,200,48
distributed,uniform,uniform ρ=0.3,0.300,0.910000,1.000000,16.000000,200,48
distributed,uniform,uniform ρ=0.5,0.500,0.865000,1.000000,24.000000,200,48
distributed,uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
distributed,model,model self-targeting,,1.000000,1.000000,0.000000,200,48
distributed,target,target (medium staleness at the read),,0.000000,0.000000,3.260000,200,48
distributed,full_oracle,full oracle,,0.000000,0.000000,48.000000,200,48
distributed,oracle_free,perfect model (ρ=0),0.000,0.000000,0.000000,0.000000,200,48
distributed,target,shortcut (write-to-key (CU10 shortcut)),,1.000000,1.000000,5.160000,200,48
network (segmentation),uniform,uniform ρ=0,0.000,1.000000,1.000000,0.000000,200,48
network (segmentation),uniform,uniform ρ=0.1,0.100,1.000000,1.000000,4.000000,200,48
network (segmentation),uniform,uniform ρ=0.2,0.200,0.995000,1.000000,9.000000,200,48
network (segmentation),uniform,uniform ρ=0.3,0.300,0.950000,1.000000,16.000000,200,48
network (segmentation),uniform,uniform ρ=0.5,0.500,0.910000,1.000000,24.000000,200,48
network (segmentation),uniform,uniform ρ=1,1.000,0.000000,0.000000,48.000000,200,48
network (segmentation),model,model self-targeting,,1.000000,1.000000,0.000000,200,48
network (segmentation),target,target (reachability closure),,0.000000,0.000000,4.165000,200,48
network (segmentation),full_oracle,full oracle,,0.000000,0.000000,48.000000,200,48
network (segmentation),oracle_free,perfect model (ρ=0),0.000,0.000000,0.000000,0.000000,200,48
network (segmentation),target,shortcut (connect-to-jewel (CU10 shortcut)),,1.000000,1.000000,3.860000,200,48
