kind,name,label,rho,random_breach,adversarial_breach,mean_calls,covers,n_episodes,horizon
uniform,uniform,uniform rho=0,0.000,1.000000,1.000000,0.000000,,200,48
uniform,uniform,uniform rho=0.1,0.100,0.985000,1.000000,4.000000,,200,48
uniform,uniform,uniform rho=0.2,0.200,0.960000,1.000000,9.000000,,200,48
uniform,uniform,uniform rho=0.3,0.300,0.905000,1.000000,16.000000,,200,48
uniform,uniform,uniform rho=0.5,0.500,0.775000,1.000000,24.000000,,200,48
uniform,uniform,uniform rho=1,1.000,0.000000,0.000000,48.000000,,200,48
model,model,model self-targeting,,1.000000,1.000000,0.000000,,200,48
candidate,connect,connect-to-jewel (CU10 carry-over),,1.000000,1.000000,3.485000,False,200,48
candidate,exposure,exposure-closure (CU17 carry-over),,1.000000,1.000000,1.955000,False,200,48
candidate,syntactic,syntactic disconnect (names a work host),,0.020000,0.195000,8.810000,False,200,48
candidate,closure,disconnect-closure (DERIVED: target=realizes),,0.000000,0.000000,2.940000,True,200,48
full_oracle,full_oracle,full oracle,,0.000000,0.000000,48.000000,,200,48
oracle_free,oracle_free,perfect model (rho=0),0.000,0.000000,0.000000,0.000000,,200,48
