kind,name,label,rho,random_breach,adversarial_breach,mean_calls,covers,n_episodes,horizon
uniform,uniform,uniform rho=0,0.000,1.000000,1.000000,0.000000,,200,48
uniform,uniform,uniform rho=0.1,0.100,0.960000,1.000000,4.000000,,200,48
uniform,uniform,uniform rho=0.2,0.200,0.920000,1.000000,9.000000,,200,48
uniform,uniform,uniform rho=0.3,0.300,0.735000,1.000000,16.000000,,200,48
uniform,uniform,uniform rho=0.5,0.500,0.615000,1.000000,24.000000,,200,48
uniform,uniform,uniform rho=1,1.000,0.000000,0.000000,48.000000,,200,48
model,model,model self-targeting,,1.000000,1.000000,0.000000,,200,48
candidate,write,write-to-protected-fd (CU16 carry-over),,1.000000,1.000000,2.345000,False,200,48
candidate,syntactic,terminate-any-process (syntactic),,0.000000,0.000000,2.870000,True,200,48
candidate,liveness,process-liveness closure (DERIVED),,0.000000,0.000000,1.465000,True,200,48
full_oracle,full_oracle,full oracle,,0.000000,0.000000,48.000000,,200,48
oracle_free,oracle_free,perfect model (rho=0),0.000,0.000000,0.000000,0.000000,,200,48
