kind,name,label,rho,random_breach,adversarial_breach,mean_calls,covers,n_episodes,horizon,budget
uniform,uniform,uniform rho=0,0.000,0.163793,1.000000,0.000000,,116,48,3
uniform,uniform,uniform rho=0.1,0.100,0.155172,1.000000,4.000000,,116,48,3
uniform,uniform,uniform rho=0.2,0.200,0.137931,1.000000,9.000000,,116,48,3
uniform,uniform,uniform rho=0.3,0.300,0.137931,1.000000,16.000000,,116,48,3
uniform,uniform,uniform rho=0.5,0.500,0.112069,1.000000,24.000000,,116,48,3
uniform,uniform,uniform rho=1,1.000,0.000000,0.000000,48.000000,,116,48,3
model,model,model self-targeting,,0.163793,1.000000,0.000000,,116,48,3
candidate,magnitude,magnitude / DLP heuristic (CU10 value carry-over),,0.112069,1.000000,3.586207,False,116,48,3
candidate,grammar,grammar (watch every sensitive flow),,0.000000,0.000000,9.189655,True,116,48,3
candidate,closure,accumulator closure (DERIVED: target=realizes),,0.000000,0.000000,0.284483,True,116,48,3
full_oracle,full_oracle,full oracle,,0.000000,0.000000,48.000000,,116,48,3
oracle_free,oracle_free,perfect model (rho=0),0.000,0.000000,0.000000,0.000000,,116,48,3
cost_by_budget,magnitude,budget=2,,,,3.555000,,116,48,2
cost_by_budget,grammar,budget=2,,,,9.110000,,116,48,2
cost_by_budget,closure,budget=2,,,,1.045000,,116,48,2
cost_by_budget,magnitude,budget=3,,,,3.586207,,116,48,3
cost_by_budget,grammar,budget=3,,,,9.189655,,116,48,3
cost_by_budget,closure,budget=3,,,,0.284483,,116,48,3
cost_by_budget,magnitude,budget=4,,,,3.625000,,116,48,4
cost_by_budget,grammar,budget=4,,,,8.937500,,116,48,4
cost_by_budget,closure,budget=4,,,,0.062500,,116,48,4
