section,policy,danger_class,latency,irreversible_fraction,random_breach,adversarial_breach,mean_consults,mean_stalls,throughput,pipeline_breach
cell,unverified,reversible,8,,1.000000,1.000000,0.000000,0.000000,1.000000,
cell,unverified,irreversible,8,,1.000000,1.000000,0.000000,0.000000,1.000000,
cell,pipeline_all,reversible,8,,0.000000,0.000000,2.933333,0.000000,1.000000,
cell,pipeline_all,irreversible,8,,1.000000,1.000000,4.166667,0.000000,1.000000,
cell,barrier_all,reversible,8,,0.000000,0.000000,3.883333,3.883333,0.607083,
cell,barrier_all,irreversible,8,,0.000000,0.000000,4.166667,4.166667,0.590164,
cell,routed,reversible,8,,0.000000,0.000000,2.933333,0.000000,1.000000,
cell,routed,irreversible,8,,0.000000,0.000000,4.166667,4.166667,0.590164,
latency_curve,pipeline_all,,0,,,,,,1.000000,
latency_curve,barrier_all,,0,,,,,,1.000000,
latency_curve,routed,,0,,,,,,1.000000,
latency_curve,pipeline_all,,1,,,,,,1.000000,
latency_curve,barrier_all,,1,,,,,,0.922633,
latency_curve,routed,,1,,,,,,0.958403,
latency_curve,pipeline_all,,2,,,,,,1.000000,
latency_curve,barrier_all,,2,,,,,,0.856378,
latency_curve,routed,,2,,,,,,0.920128,
latency_curve,pipeline_all,,4,,,,,,1.000000,
latency_curve,barrier_all,,4,,,,,,0.748830,
latency_curve,routed,,4,,,,,,0.852071,
latency_curve,pipeline_all,,8,,,,,,1.000000,
latency_curve,barrier_all,,8,,,,,,0.598504,
latency_curve,routed,,8,,,,,,0.742268,
latency_curve,pipeline_all,,16,,,,,,1.000000,
latency_curve,barrier_all,,16,,,,,,0.427046,
latency_curve,routed,,16,,,,,,0.590164,
fraction_law,routed,,8,0.000,,,,,1.000000,
fraction_law,barrier_all,,8,0.000,,,,,0.607083,
fraction_law,pipeline_all,,8,0.000,,,,,1.000000,0.000000
fraction_law,routed,,8,0.250,,,,,0.852071,
fraction_law,barrier_all,,8,0.250,,,,,0.602763,
fraction_law,pipeline_all,,8,0.250,,,,,1.000000,0.250000
fraction_law,routed,,8,0.500,,,,,0.742268,
fraction_law,barrier_all,,8,0.500,,,,,0.598504,
fraction_law,pipeline_all,,8,0.500,,,,,1.000000,0.500000
fraction_law,routed,,8,0.750,,,,,0.657534,
fraction_law,barrier_all,,8,0.750,,,,,0.594305,
fraction_law,pipeline_all,,8,0.750,,,,,1.000000,0.750000
fraction_law,routed,,8,1.000,,,,,0.590164,
fraction_law,barrier_all,,8,1.000,,,,,0.590164,
fraction_law,pipeline_all,,8,1.000,,,,,1.000000,1.000000
