section,world,policy,ratio,adversarial_breach,random_breach,calls,value
point,network,free,,1.000000,1.000000,0.000000,
point,network,uniform_knee,,1.000000,0.660000,24.000000,
point,network,model,,1.000000,1.000000,0.000000,
point,network,structure,,0.000000,0.000000,4.070000,
point,network,full_oracle,,0.000000,0.000000,48.000000,
critical_ratio,network,structure,,,,4.070000,4.070000
point,host,free,,1.000000,1.000000,0.000000,
point,host,uniform_knee,,1.000000,0.820000,24.000000,
point,host,model,,1.000000,1.000000,0.000000,
point,host,structure,,0.000000,0.000000,3.490000,
point,host,full_oracle,,0.000000,0.000000,48.000000,
critical_ratio,host,structure,,,,3.490000,3.490000
dial,network,uniform,0.000,1.000000,1.000000,0.000000,
dial,network,uniform,0.100,1.000000,0.960000,4.000000,
dial,network,uniform,0.200,1.000000,0.925000,9.000000,
dial,network,uniform,0.300,1.000000,0.815000,16.000000,
dial,network,uniform,0.500,1.000000,0.660000,24.000000,
dial,network,uniform,1.000,0.000000,0.000000,48.000000,
loss,network,free,0.500,,,,0.500000
loss,network,structure,0.500,,,,4.070000
loss,network,full_oracle,0.500,,,,48.000000
loss,network,free,1.000,,,,1.000000
loss,network,structure,1.000,,,,4.070000
loss,network,full_oracle,1.000,,,,48.000000
loss,network,free,2.000,,,,2.000000
loss,network,structure,2.000,,,,4.070000
loss,network,full_oracle,2.000,,,,48.000000
loss,network,free,4.000,,,,4.000000
loss,network,structure,4.000,,,,4.070000
loss,network,full_oracle,4.000,,,,48.000000
loss,network,free,6.000,,,,6.000000
loss,network,structure,6.000,,,,4.070000
loss,network,full_oracle,6.000,,,,48.000000
loss,network,free,9.000,,,,9.000000
loss,network,structure,9.000,,,,4.070000
loss,network,full_oracle,9.000,,,,48.000000
loss,network,free,12.000,,,,12.000000
loss,network,structure,12.000,,,,4.070000
loss,network,full_oracle,12.000,,,,48.000000
loss,network,free,18.000,,,,18.000000
loss,network,structure,18.000,,,,4.070000
loss,network,full_oracle,18.000,,,,48.000000
loss,network,free,26.000,,,,26.000000
loss,network,structure,26.000,,,,4.070000
loss,network,full_oracle,26.000,,,,48.000000
loss,network,free,40.000,,,,40.000000
loss,network,structure,40.000,,,,4.070000
loss,network,full_oracle,40.000,,,,48.000000
loss,network,free,60.000,,,,60.000000
loss,network,structure,60.000,,,,4.070000
loss,network,full_oracle,60.000,,,,48.000000
loss,network,free,100.000,,,,100.000000
loss,network,structure,100.000,,,,4.070000
loss,network,full_oracle,100.000,,,,48.000000
loss,network,free,200.000,,,,200.000000
loss,network,structure,200.000,,,,4.070000
loss,network,full_oracle,200.000,,,,48.000000
