row,label,after_the_fact_catch,before_commit_breach,adversarial_breach,calls,n
contrast,integrity (write a protected file),1.000000,0.000000,0.000000,1.540000,119
contrast,availability (kill a critical daemon),1.000000,0.000000,0.000000,0.680000,136
contrast,confidentiality (read a secret),0.000000,0.000000,0.000000,4.040000,808
conf_frontier,uniform ρ=0,,1.000000,1.000000,0.000000,200
conf_frontier,uniform ρ=0.1,,0.985000,1.000000,4.000000,200
conf_frontier,uniform ρ=0.2,,0.960000,1.000000,9.000000,200
conf_frontier,uniform ρ=0.3,,0.890000,1.000000,16.000000,200
conf_frontier,uniform ρ=0.5,,0.855000,1.000000,24.000000,200
conf_frontier,uniform ρ=1,,0.000000,0.000000,48.000000,200
conf_frontier,model self-targeting,,1.000000,1.000000,0.000000,200
conf_frontier,target (confidentiality),,0.000000,0.000000,4.040000,200
conf_frontier,full oracle,,0.000000,0.000000,48.000000,200
conf_frontier,shortcut (write-to-secret-fd (CU16 carry-over)),,1.000000,1.000000,2.415000,200
triad,union,,0.000000,0.000000,,200
triad,drop_confidentiality,,1.000000,1.000000,,200
