series,granularity,covers_danger,faithful_on_surface,adversarial_breach,random_breach,mean_false_blocks,mean_calls,n_episodes
covering,1,1,1,0.000000,0.000000,0.000000,1.540000,200
covering,2,1,1,0.000000,0.000000,1.475000,3.015000,200
covering,3,1,1,0.000000,0.000000,3.080000,4.620000,200
covering,4,1,1,0.000000,0.000000,4.765000,6.305000,200
covering,5,1,1,0.000000,0.000000,7.180000,8.720000,200
subcoverage,0,0,0,0.850000,0.595000,0.000000,0.000000,200
subcoverage,1,0,0,0.850000,0.595000,1.475000,1.475000,200
subcoverage,2,0,0,0.850000,0.595000,3.080000,3.080000,200
subcoverage,3,0,0,0.850000,0.595000,4.765000,4.765000,200
subcoverage,4,0,0,0.850000,0.595000,7.180000,7.180000,200
