world,regime,phi,m,adversarial_breach,random_breach,mean_false_blocks,faithful_on_surface,n_scenarios
network,homogeneous,0.300,1,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,2,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,3,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,4,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,5,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,6,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,7,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.300,8,1.000000,0.837500,0.212500,0.000000,80
network,homogeneous,0.500,1,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,2,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,3,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,4,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,5,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,6,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,7,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.500,8,1.000000,0.787500,0.212500,0.000000,80
network,homogeneous,0.700,1,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,2,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,3,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,4,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,5,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,6,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,7,1.000000,0.612500,0.212500,0.000000,80
network,homogeneous,0.700,8,1.000000,0.612500,0.212500,0.000000,80
network,heterogeneous,0.300,1,1.000000,0.837500,0.212500,0.000000,80
network,heterogeneous,0.300,2,1.000000,0.800000,0.912500,0.000000,80
network,heterogeneous,0.300,3,1.000000,0.712500,0.912500,0.000000,80
network,heterogeneous,0.300,4,1.000000,0.625000,1.087500,0.000000,80
network,heterogeneous,0.300,5,0.975000,0.375000,1.275000,0.025000,80
network,heterogeneous,0.300,6,0.975000,0.375000,1.587500,0.025000,80
network,heterogeneous,0.300,7,0.950000,0.212500,1.837500,0.050000,80
network,heterogeneous,0.300,8,0.900000,0.150000,1.837500,0.100000,80
network,heterogeneous,0.500,1,1.000000,0.787500,0.212500,0.000000,80
network,heterogeneous,0.500,2,0.975000,0.600000,0.912500,0.025000,80
network,heterogeneous,0.500,3,0.975000,0.287500,0.912500,0.025000,80
network,heterogeneous,0.500,4,0.662500,0.087500,1.075000,0.337500,80
network,heterogeneous,0.500,5,0.662500,0.087500,1.262500,0.337500,80
network,heterogeneous,0.500,6,0.000000,0.000000,1.575000,1.000000,80
network,heterogeneous,0.500,7,0.000000,0.000000,1.837500,1.000000,80
network,heterogeneous,0.500,8,0.000000,0.000000,1.837500,1.000000,80
network,heterogeneous,0.700,1,1.000000,0.612500,0.212500,0.000000,80
network,heterogeneous,0.700,2,0.912500,0.212500,0.912500,0.087500,80
network,heterogeneous,0.700,3,0.662500,0.087500,0.912500,0.337500,80
network,heterogeneous,0.700,4,0.000000,0.000000,1.075000,1.000000,80
network,heterogeneous,0.700,5,0.000000,0.000000,1.262500,1.000000,80
network,heterogeneous,0.700,6,0.000000,0.000000,1.575000,1.000000,80
network,heterogeneous,0.700,7,0.000000,0.000000,1.837500,1.000000,80
network,heterogeneous,0.700,8,0.000000,0.000000,1.837500,1.000000,80
host,homogeneous,0.300,1,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,2,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,3,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,4,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,5,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,6,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,7,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.300,8,0.687500,0.975000,0.362500,0.337500,80
host,homogeneous,0.500,1,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,2,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,3,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,4,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,5,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,6,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,7,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.500,8,0.662500,0.837500,0.337500,0.375000,80
host,homogeneous,0.700,1,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,2,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,3,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,4,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,5,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,6,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,7,0.600000,0.662500,0.175000,0.475000,80
host,homogeneous,0.700,8,0.600000,0.662500,0.175000,0.475000,80
host,heterogeneous,0.300,1,0.687500,0.975000,0.362500,0.337500,80
host,heterogeneous,0.300,2,0.575000,0.812500,0.537500,0.475000,80
host,heterogeneous,0.300,3,0.525000,0.625000,0.612500,0.587500,80
host,heterogeneous,0.300,4,0.412500,0.462500,0.487500,0.662500,80
host,heterogeneous,0.300,5,0.375000,0.412500,0.637500,0.675000,80
host,heterogeneous,0.300,6,0.000000,0.112500,0.112500,1.000000,80
host,heterogeneous,0.300,7,0.000000,0.050000,0.012500,1.000000,80
host,heterogeneous,0.300,8,0.000000,0.037500,0.012500,1.000000,80
host,heterogeneous,0.500,1,0.662500,0.837500,0.337500,0.375000,80
host,heterogeneous,0.500,2,0.612500,0.562500,0.337500,0.512500,80
host,heterogeneous,0.500,3,0.500000,0.350000,0.275000,0.650000,80
host,heterogeneous,0.500,4,0.375000,0.287500,0.275000,0.675000,80
host,heterogeneous,0.500,5,0.375000,0.187500,0.275000,0.675000,80
host,heterogeneous,0.500,6,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.500,7,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.500,8,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,1,0.600000,0.662500,0.175000,0.475000,80
host,heterogeneous,0.700,2,0.062500,0.162500,0.025000,0.962500,80
host,heterogeneous,0.700,3,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,4,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,5,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,6,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,7,0.000000,0.000000,0.000000,1.000000,80
host,heterogeneous,0.700,8,0.000000,0.000000,0.000000,1.000000,80
