schedule,rho,success_rate,unsafe_rate,mean_unsafe,mean_lost,phi,n_episodes
uniform,0.000,0.275000,0.570000,0.785000,1.185000,0.600,200
uniform,0.100,0.305000,0.545000,0.695000,1.050000,0.600,200
uniform,0.200,0.335000,0.525000,0.660000,0.975000,0.600,200
uniform,0.300,0.370000,0.460000,0.565000,0.860000,0.600,200
uniform,0.500,0.505000,0.350000,0.430000,0.605000,0.600,200
uniform,0.750,0.700000,0.205000,0.230000,0.335000,0.600,200
uniform,1.000,1.000000,0.000000,0.000000,0.000000,0.600,200
prioritized,0.000,0.275000,0.570000,0.785000,1.185000,0.600,200
prioritized,0.100,0.495000,0.305000,0.370000,0.690000,0.600,200
prioritized,0.200,0.695000,0.160000,0.200000,0.395000,0.600,200
prioritized,0.300,0.905000,0.050000,0.050000,0.110000,0.600,200
prioritized,0.500,1.000000,0.000000,0.000000,0.000000,0.600,200
prioritized,0.750,1.000000,0.000000,0.000000,0.000000,0.600,200
prioritized,1.000,1.000000,0.000000,0.000000,0.000000,0.600,200
