agent,rho,success_rate,harm_rate,lost_rate,phi,n_goals,n_routes
one_shot,0.000,0.516667,0.053333,0.430000,0.600,300,6
one_shot,0.100,0.546667,0.016667,0.436667,0.600,300,6
one_shot,0.200,0.546667,0.016667,0.436667,0.600,300,6
one_shot,0.300,0.563333,0.003333,0.433333,0.600,300,6
one_shot,0.500,0.570000,0.003333,0.426667,0.600,300,6
one_shot,0.750,0.570000,0.000000,0.430000,0.600,300,6
one_shot,1.000,0.570000,0.000000,0.430000,0.600,300,6
replanner,0.000,0.883333,0.116667,0.000000,0.600,300,6
replanner,0.100,0.953333,0.043333,0.003333,0.600,300,6
replanner,0.200,0.953333,0.043333,0.003333,0.600,300,6
replanner,0.300,0.986667,0.013333,0.000000,0.600,300,6
replanner,0.500,0.990000,0.010000,0.000000,0.600,300,6
replanner,0.750,0.996667,0.003333,0.000000,0.600,300,6
replanner,1.000,1.000000,0.000000,0.000000,0.600,300,6
