rho,step,survival,breach_rate,mean_safe_steps,n_episodes,horizon
0.000,1,0.975000,0.995000,19.870000,200,48
0.000,2,0.935000,0.995000,19.870000,200,48
0.000,3,0.900000,0.995000,19.870000,200,48
0.000,4,0.885000,0.995000,19.870000,200,48
0.000,5,0.850000,0.995000,19.870000,200,48
0.000,6,0.825000,0.995000,19.870000,200,48
0.000,7,0.800000,0.995000,19.870000,200,48
0.000,8,0.755000,0.995000,19.870000,200,48
0.000,9,0.720000,0.995000,19.870000,200,48
0.000,10,0.700000,0.995000,19.870000,200,48
0.000,11,0.670000,0.995000,19.870000,200,48
0.000,12,0.635000,0.995000,19.870000,200,48
0.000,13,0.590000,0.995000,19.870000,200,48
0.000,14,0.560000,0.995000,19.870000,200,48
0.000,15,0.535000,0.995000,19.870000,200,48
0.000,16,0.515000,0.995000,19.870000,200,48
0.000,17,0.490000,0.995000,19.870000,200,48
0.000,18,0.465000,0.995000,19.870000,200,48
0.000,19,0.425000,0.995000,19.870000,200,48
0.000,20,0.415000,0.995000,19.870000,200,48
0.000,21,0.395000,0.995000,19.870000,200,48
0.000,22,0.375000,0.995000,19.870000,200,48
0.000,23,0.355000,0.995000,19.870000,200,48
0.000,24,0.340000,0.995000,19.870000,200,48
0.000,25,0.325000,0.995000,19.870000,200,48
0.000,26,0.315000,0.995000,19.870000,200,48
0.000,27,0.305000,0.995000,19.870000,200,48
0.000,28,0.295000,0.995000,19.870000,200,48
0.000,29,0.290000,0.995000,19.870000,200,48
0.000,30,0.270000,0.995000,19.870000,200,48
0.000,31,0.250000,0.995000,19.870000,200,48
0.000,32,0.235000,0.995000,19.870000,200,48
0.000,33,0.205000,0.995000,19.870000,200,48
0.000,34,0.190000,0.995000,19.870000,200,48
0.000,35,0.180000,0.995000,19.870000,200,48
0.000,36,0.165000,0.995000,19.870000,200,48
0.000,37,0.150000,0.995000,19.870000,200,48
0.000,38,0.125000,0.995000,19.870000,200,48
0.000,39,0.110000,0.995000,19.870000,200,48
0.000,40,0.090000,0.995000,19.870000,200,48
0.000,41,0.075000,0.995000,19.870000,200,48
0.000,42,0.055000,0.995000,19.870000,200,48
0.000,43,0.050000,0.995000,19.870000,200,48
0.000,44,0.030000,0.995000,19.870000,200,48
0.000,45,0.025000,0.995000,19.870000,200,48
0.000,46,0.015000,0.995000,19.870000,200,48
0.000,47,0.005000,0.995000,19.870000,200,48
0.000,48,0.005000,0.995000,19.870000,200,48
0.100,1,0.975000,0.950000,21.430000,200,48
0.100,2,0.935000,0.950000,21.430000,200,48
0.100,3,0.900000,0.950000,21.430000,200,48
0.100,4,0.885000,0.950000,21.430000,200,48
0.100,5,0.850000,0.950000,21.430000,200,48
0.100,6,0.825000,0.950000,21.430000,200,48
0.100,7,0.800000,0.950000,21.430000,200,48
0.100,8,0.755000,0.950000,21.430000,200,48
0.100,9,0.720000,0.950000,21.430000,200,48
0.100,10,0.720000,0.950000,21.430000,200,48
0.100,11,0.695000,0.950000,21.430000,200,48
0.100,12,0.660000,0.950000,21.430000,200,48
0.100,13,0.615000,0.950000,21.430000,200,48
0.100,14,0.585000,0.950000,21.430000,200,48
0.100,15,0.560000,0.950000,21.430000,200,48
0.100,16,0.540000,0.950000,21.430000,200,48
0.100,17,0.515000,0.950000,21.430000,200,48
0.100,18,0.490000,0.950000,21.430000,200,48
0.100,19,0.450000,0.950000,21.430000,200,48
0.100,20,0.450000,0.950000,21.430000,200,48
0.100,21,0.430000,0.950000,21.430000,200,48
0.100,22,0.410000,0.950000,21.430000,200,48
0.100,23,0.390000,0.950000,21.430000,200,48
0.100,24,0.375000,0.950000,21.430000,200,48
0.100,25,0.360000,0.950000,21.430000,200,48
0.100,26,0.350000,0.950000,21.430000,200,48
0.100,27,0.340000,0.950000,21.430000,200,48
0.100,28,0.330000,0.950000,21.430000,200,48
0.100,29,0.325000,0.950000,21.430000,200,48
0.100,30,0.325000,0.950000,21.430000,200,48
0.100,31,0.305000,0.950000,21.430000,200,48
0.100,32,0.280000,0.950000,21.430000,200,48
0.100,33,0.250000,0.950000,21.430000,200,48
0.100,34,0.235000,0.950000,21.430000,200,48
0.100,35,0.225000,0.950000,21.430000,200,48
0.100,36,0.210000,0.950000,21.430000,200,48
0.100,37,0.195000,0.950000,21.430000,200,48
0.100,38,0.170000,0.950000,21.430000,200,48
0.100,39,0.155000,0.950000,21.430000,200,48
0.100,40,0.155000,0.950000,21.430000,200,48
0.100,41,0.140000,0.950000,21.430000,200,48
0.100,42,0.115000,0.950000,21.430000,200,48
0.100,43,0.105000,0.950000,21.430000,200,48
0.100,44,0.085000,0.950000,21.430000,200,48
0.100,45,0.080000,0.950000,21.430000,200,48
0.100,46,0.065000,0.950000,21.430000,200,48
0.100,47,0.050000,0.950000,21.430000,200,48
0.100,48,0.050000,0.950000,21.430000,200,48
0.200,1,0.975000,0.915000,23.305000,200,48
0.200,2,0.935000,0.915000,23.305000,200,48
0.200,3,0.900000,0.915000,23.305000,200,48
0.200,4,0.885000,0.915000,23.305000,200,48
0.200,5,0.885000,0.915000,23.305000,200,48
0.200,6,0.860000,0.915000,23.305000,200,48
0.200,7,0.835000,0.915000,23.305000,200,48
0.200,8,0.790000,0.915000,23.305000,200,48
0.200,9,0.750000,0.915000,23.305000,200,48
0.200,10,0.750000,0.915000,23.305000,200,48
0.200,11,0.725000,0.915000,23.305000,200,48
0.200,12,0.685000,0.915000,23.305000,200,48
0.200,13,0.640000,0.915000,23.305000,200,48
0.200,14,0.610000,0.915000,23.305000,200,48
0.200,15,0.610000,0.915000,23.305000,200,48
0.200,16,0.590000,0.915000,23.305000,200,48
0.200,17,0.565000,0.915000,23.305000,200,48
0.200,18,0.535000,0.915000,23.305000,200,48
0.200,19,0.500000,0.915000,23.305000,200,48
0.200,20,0.500000,0.915000,23.305000,200,48
0.200,21,0.475000,0.915000,23.305000,200,48
0.200,22,0.450000,0.915000,23.305000,200,48
0.200,23,0.430000,0.915000,23.305000,200,48
0.200,24,0.415000,0.915000,23.305000,200,48
0.200,25,0.415000,0.915000,23.305000,200,48
0.200,26,0.405000,0.915000,23.305000,200,48
0.200,27,0.395000,0.915000,23.305000,200,48
0.200,28,0.385000,0.915000,23.305000,200,48
0.200,29,0.375000,0.915000,23.305000,200,48
0.200,30,0.375000,0.915000,23.305000,200,48
0.200,31,0.355000,0.915000,23.305000,200,48
0.200,32,0.325000,0.915000,23.305000,200,48
0.200,33,0.295000,0.915000,23.305000,200,48
0.200,34,0.280000,0.915000,23.305000,200,48
0.200,35,0.280000,0.915000,23.305000,200,48
0.200,36,0.260000,0.915000,23.305000,200,48
0.200,37,0.240000,0.915000,23.305000,200,48
0.200,38,0.215000,0.915000,23.305000,200,48
0.200,39,0.200000,0.915000,23.305000,200,48
0.200,40,0.200000,0.915000,23.305000,200,48
0.200,41,0.185000,0.915000,23.305000,200,48
0.200,42,0.155000,0.915000,23.305000,200,48
0.200,43,0.145000,0.915000,23.305000,200,48
0.200,44,0.125000,0.915000,23.305000,200,48
0.200,45,0.125000,0.915000,23.305000,200,48
0.200,46,0.105000,0.915000,23.305000,200,48
0.200,47,0.085000,0.915000,23.305000,200,48
0.200,48,0.085000,0.915000,23.305000,200,48
0.300,1,0.975000,0.810000,26.530000,200,48
0.300,2,0.935000,0.810000,26.530000,200,48
0.300,3,0.935000,0.810000,26.530000,200,48
0.300,4,0.920000,0.810000,26.530000,200,48
0.300,5,0.885000,0.810000,26.530000,200,48
0.300,6,0.885000,0.810000,26.530000,200,48
0.300,7,0.860000,0.810000,26.530000,200,48
0.300,8,0.815000,0.810000,26.530000,200,48
0.300,9,0.815000,0.810000,26.530000,200,48
0.300,10,0.795000,0.810000,26.530000,200,48
0.300,11,0.765000,0.810000,26.530000,200,48
0.300,12,0.765000,0.810000,26.530000,200,48
0.300,13,0.720000,0.810000,26.530000,200,48
0.300,14,0.690000,0.810000,26.530000,200,48
0.300,15,0.690000,0.810000,26.530000,200,48
0.300,16,0.665000,0.810000,26.530000,200,48
0.300,17,0.640000,0.810000,26.530000,200,48
0.300,18,0.640000,0.810000,26.530000,200,48
0.300,19,0.600000,0.810000,26.530000,200,48
0.300,20,0.570000,0.810000,26.530000,200,48
0.300,21,0.570000,0.810000,26.530000,200,48
0.300,22,0.545000,0.810000,26.530000,200,48
0.300,23,0.510000,0.810000,26.530000,200,48
0.300,24,0.510000,0.810000,26.530000,200,48
0.300,25,0.475000,0.810000,26.530000,200,48
