panel,mode,policy,rho,dollars,h_eps,ci_lo,ci_hi,b_quarter,ceiling,winner,ratio
frontier,gross,metamorphic,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,gross,metamorphic,0.25,104.0000,4.0000,1.7500,6.7500,,,,
frontier,gross,metamorphic,0.5,180.0000,5.8750,3.2500,8.5000,,,,
frontier,gross,metamorphic,0.75,112.0000,13.3750,6.7500,20.2500,,,,
frontier,gross,metamorphic,1.0,142.0000,14.2500,6.8750,22.6250,,,,
frontier,gross,symbolic,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,gross,symbolic,0.25,66.0000,4.0000,1.7500,6.7500,,,,
frontier,gross,symbolic,0.5,124.0000,5.8750,3.2500,8.5000,,,,
frontier,gross,symbolic,0.75,204.0000,13.3750,6.7500,20.2500,,,,
frontier,gross,symbolic,1.0,264.0000,14.2500,6.8750,22.6250,,,,
frontier,gross,bit_exact,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,gross,bit_exact,0.25,160.0000,4.2500,2.1250,6.8750,,,,
frontier,gross,bit_exact,0.5,320.0000,7.2500,4.5000,9.5000,,,,
frontier,gross,bit_exact,0.75,480.0000,34.1250,32.2500,36.5000,,,,
frontier,gross,bit_exact,1.0,640.0000,40.0000,40.0000,40.0000,,,,
frontier,gross,escalate,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,gross,escalate,0.25,194.2500,4.2500,2.1250,6.8750,,,,
frontier,gross,escalate,0.5,399.0000,7.2500,4.5000,9.5000,,,,
frontier,gross,escalate,0.75,656.5000,34.1250,32.2500,36.5000,,,,
frontier,gross,escalate,1.0,874.2500,40.0000,40.0000,40.0000,,,,
frontier,subtle,metamorphic,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,metamorphic,0.25,50.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,metamorphic,0.5,94.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,metamorphic,0.75,134.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,metamorphic,1.0,176.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,symbolic,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,symbolic,0.25,44.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,symbolic,0.5,84.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,symbolic,0.75,128.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,symbolic,1.0,168.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,bit_exact,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,bit_exact,0.25,160.0000,4.2500,2.1250,6.8750,,,,
frontier,subtle,bit_exact,0.5,320.0000,6.2500,4.0000,8.5000,,,,
frontier,subtle,bit_exact,0.75,480.0000,35.0000,32.6250,37.5000,,,,
frontier,subtle,bit_exact,1.0,640.0000,40.0000,40.0000,40.0000,,,,
frontier,subtle,escalate,0.0,0.0000,1.5000,0.1250,3.5000,,,,
frontier,subtle,escalate,0.25,219.7500,4.2500,2.1250,6.8750,,,,
frontier,subtle,escalate,0.5,441.2500,6.2500,4.0000,8.5000,,,,
frontier,subtle,escalate,0.75,685.5000,35.0000,32.6250,37.5000,,,,
frontier,subtle,escalate,1.0,912.5000,40.0000,40.0000,40.0000,,,,
verdict,gross,metamorphic,,,,,,160.0000,40.0000,metamorphic,0.3563
verdict,subtle,bit_exact,,,,,,160.0000,40.0000,bit_exact,0.1062
