panel,mode,noise,rho,bit_h,cons_h,gap,h_eps,ratio,ci_lo,ci_hi
h19,gross,,,1.5000,2.2500,0.7500,,,0.0000,1.7500
h19,subtle,,,1.5000,13.1250,11.6250,,,3.1250,21.7500
h18,,0.0,0.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.0,0.25,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.0,0.5,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.0,0.75,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.0,1.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.2,0.0,,,,11.2500,0.2812,3.5000,21.3750
h18,,0.2,0.25,,,,17.8750,0.4469,8.7500,28.3750
h18,,0.2,0.5,,,,22.3750,0.5594,13.8750,31.2500
h18,,0.2,0.75,,,,36.8750,0.9219,34.2500,39.2500
h18,,0.2,1.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.4,0.0,,,,1.5000,0.0375,0.1250,3.5000
h18,,0.4,0.25,,,,4.2500,0.1062,2.1250,6.8750
h18,,0.4,0.5,,,,7.2500,0.1812,4.5000,9.5000
h18,,0.4,0.75,,,,34.1250,0.8531,32.2500,36.5000
h18,,0.4,1.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.6,0.0,,,,1.0000,0.0250,0.1250,2.1250
h18,,0.6,0.25,,,,4.2500,0.1062,2.2500,6.3750
h18,,0.6,0.5,,,,5.5000,0.1375,3.0000,8.0000
h18,,0.6,0.75,,,,32.7500,0.8187,31.1250,35.2500
h18,,0.6,1.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,0.8,0.0,,,,0.7500,0.0187,0.1250,1.5000
h18,,0.8,0.25,,,,3.0000,0.0750,1.6250,4.6250
h18,,0.8,0.5,,,,5.5000,0.1375,3.0000,8.0000
h18,,0.8,0.75,,,,32.0000,0.8000,30.3750,34.5000
h18,,0.8,1.0,,,,40.0000,1.0000,40.0000,40.0000
h18,,1.0,0.0,,,,0.6250,0.0156,0.0000,1.5000
h18,,1.0,0.25,,,,1.8750,0.0469,1.3750,2.3750
h18,,1.0,0.5,,,,3.7500,0.0938,1.7500,6.0000
h18,,1.0,0.75,,,,31.0000,0.7750,30.2500,32.0000
h18,,1.0,1.0,,,,40.0000,1.0000,40.0000,40.0000
