panel,key,driver,rho,n,agree_rate,ci_lo,ci_hi,h_ref,h_sys,detail
meta,platform,darwin,,,,,,,,overall=1.0000
tier1,exhaustive,all,,252,1.0000,,,,,agree=252;delivery_order=0;residual=0
tier1_family,advance,,,16,1.0000,,,,,
tier1_family,cas,,,72,1.0000,,,,,
tier1_family,crash,,,24,1.0000,,,,,
tier1_family,get,,,42,1.0000,,,,,
tier1_family,heal,,,8,1.0000,,,,,
tier1_family,partition,,,24,1.0000,,,,,
tier1_family,put,,,42,1.0000,,,,,
tier1_family,restart,,,24,1.0000,,,,,
tier2,driver,uniform,,200,1.0000,1.0000,1.0000,,,agree=200
tier2,driver,contention,,200,1.0000,1.0000,1.0000,,,agree=200
tier2,driver,adversarial,,200,1.0000,1.0000,1.0000,,,agree=200
tier3,overlay,contention,0.0,,,,,2.5000,2.5000,gap=0.0000
tier3,overlay,contention,0.25,,,,,3.2500,3.2500,gap=0.0000
tier3,overlay,contention,0.5,,,,,3.5000,3.5000,gap=0.0000
tier3,overlay,contention,0.75,,,,,32.0000,32.0000,gap=0.0000
tier3,overlay,contention,1.0,,,,,32.0000,32.0000,gap=0.0000
negctl,broken_arrival,adversarial,,200,0.9500,,,,,caught=10;detects_break=True
threaded,real_os_threads,,,252,1.0000,,,,,available=True
