label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
hard_reset,0.0,1.1,1.0,1.3,7.0,10
hard_reset,0.05,1.1,1.0,1.3,7.0,10
hard_reset,0.1,1.2,1.0,1.5,7.0,10
projection,0.0,1.1,1.0,1.3,7.0,10
projection,0.05,1.1,1.0,1.3,7.0,10
projection,0.1,1.2,1.0,1.5,7.0,10
residual,0.0,1.1,1.0,1.3,7.0,10
residual,0.05,1.1,1.0,1.3,7.0,10
residual,0.1,1.2,1.0,1.5,7.0,10
subsystem_fd,0.0,0.9,0.7,1.0,7.0,10
subsystem_fd,0.05,0.9,0.7,1.0,7.0,10
subsystem_fd,0.1,1.0,0.7,1.3,7.0,10
subsystem_proc,0.0,0.4,0.1,0.7,7.0,10
subsystem_proc,0.05,0.4,0.1,0.7,7.0,10
subsystem_proc,0.1,0.5,0.2,0.8,7.0,10
subsystem_rr,0.0,0.4,0.1,0.7,7.0,10
subsystem_rr,0.05,0.4,0.1,0.7,7.0,10
subsystem_rr,0.1,0.5,0.2,0.8,7.0,10
