label,epsilon,mean_h,ci_low,ci_high,mean_calls,n
fixed_fd,0.0,1.8,1.1,2.5,7.0,10
fixed_fd,0.05,1.8,1.1,2.5,7.0,10
fixed_fd,0.1,3.6,1.8,6.0,7.0,10
round_robin,0.0,2.1,1.5,2.7,7.0,10
round_robin,0.05,2.1,1.5,2.7,7.0,10
round_robin,0.1,3.5,2.3,5.0,7.0,10
uncertainty_entropy,0.0,2.2,1.6,2.9,7.0,10
uncertainty_entropy,0.05,2.2,1.6,2.9,7.0,10
uncertainty_entropy,0.1,3.7,2.4,5.1,7.0,10
uncertainty_heads,0.0,1.8,1.1,2.5,7.0,10
uncertainty_heads,0.05,1.8,1.1,2.5,7.0,10
uncertainty_heads,0.1,3.2,1.8,4.8,7.0,10
