proposer,rho,mean_horizon,ci_lo,ci_hi,n
null,0.0,0.0000,0.0000,0.0000,10
null,0.1,1.0000,1.0000,1.0000,10
null,0.2,1.0000,1.0000,1.0000,10
null,0.3,1.0000,1.0000,1.0000,10
null,0.5,1.0000,1.0000,1.0000,10
null,1.0,24.0000,24.0000,24.0000,10
flat,0.0,0.4000,0.1000,0.7000,10
flat,0.1,1.1000,1.0000,1.3000,10
flat,0.2,1.1000,1.0000,1.3000,10
flat,0.3,1.1000,1.0000,1.3000,10
flat,0.5,1.2000,1.0000,1.6000,10
flat,1.0,24.0000,24.0000,24.0000,10
factored,0.0,2.3000,1.5000,3.1000,10
factored,0.1,2.3000,1.5000,3.1000,10
factored,0.2,2.3000,1.5000,3.1000,10
factored,0.3,2.6000,1.6000,3.6000,10
factored,0.5,4.2000,1.6000,7.6000,10
factored,1.0,24.0000,24.0000,24.0000,10
oracle,0.0,24.0000,24.0000,24.0000,10
oracle,0.1,24.0000,24.0000,24.0000,10
oracle,0.2,24.0000,24.0000,24.0000,10
oracle,0.3,24.0000,24.0000,24.0000,10
oracle,0.5,24.0000,24.0000,24.0000,10
oracle,1.0,24.0000,24.0000,24.0000,10
