interleave,mean_entropy,epsilon,mean_h,ci_low,ci_high,n
0.0,0.166667,0.0,12.500000,8.500000,17.250000,12
0.0,0.166667,0.05,14.166667,9.583333,19.333333,12
0.0,0.166667,0.1,21.083333,17.000000,24.500000,12
0.25,0.281250,0.0,5.166667,2.166667,9.750000,12
0.25,0.281250,0.05,5.666667,2.166667,10.500000,12
0.25,0.281250,0.1,7.583333,3.500000,12.750000,12
0.5,0.416667,0.0,2.000000,1.583333,2.416667,12
0.5,0.416667,0.05,2.000000,1.583333,2.416667,12
0.5,0.416667,0.1,3.166667,2.583333,3.833333,12
0.75,0.593750,0.0,1.500000,1.250000,1.750000,12
0.75,0.593750,0.05,1.500000,1.250000,1.750000,12
0.75,0.593750,0.1,2.583333,2.166667,3.083333,12
1.0,0.708333,0.0,1.500000,1.250000,1.750000,12
1.0,0.708333,0.05,1.500000,1.250000,1.750000,12
1.0,0.708333,0.1,2.583333,2.166667,3.083333,12
