n_threads,interleave,mean_entropy,mean_h,ci_low,ci_high
2,0.0,0.1111,7.5833,6.2500,8.7500
2,0.25,0.1944,4.5833,2.8333,6.5000
2,0.5,0.3056,3.8333,2.5000,5.3333
2,0.75,0.4167,3.0833,2.0000,4.8333
2,1.0,0.4722,3.0833,2.0000,4.8333
4,0.0,0.1579,13.8333,10.7500,17.0833
4,0.25,0.2763,5.5833,2.2500,9.6667
4,0.5,0.3816,2.0000,1.5833,2.4167
4,0.75,0.5395,1.5000,1.2500,1.7500
4,1.0,0.7105,1.7500,1.3333,2.2500
6,0.0,0.1724,18.1667,13.5000,23.0833
6,0.25,0.3017,6.4167,2.1667,12.4167
6,0.5,0.5000,2.0000,1.5833,2.4167
6,0.75,0.6034,1.5000,1.2500,1.7500
6,1.0,0.7500,1.5000,1.2500,1.7500
8,0.0,0.1795,14.3333,8.2500,22.1667
8,0.25,0.2885,5.6667,1.7500,12.5000
8,0.5,0.4167,1.9167,1.5833,2.2500
8,0.75,0.6090,1.2500,1.0000,1.5000
8,1.0,0.8590,1.2500,1.0000,1.5000
