difficulty,epsilon,rho,mean_h,ci_low,ci_high,n
high,0.0,0.0,1.0,0.0,2.2,5
high,0.0,0.05,1.6,1.0,2.4,5
high,0.0,0.1,1.6,1.0,2.4,5
high,0.0,0.2,1.6,1.0,2.4,5
high,0.0,0.3,2.4,1.0,4.8,5
high,0.0,0.5,3.0,1.0,6.2,5
high,0.0,1.0,24.0,24.0,24.0,5
high,0.05,0.0,1.0,0.0,2.2,5
high,0.05,0.05,1.6,1.0,2.4,5
high,0.05,0.1,1.6,1.0,2.4,5
high,0.05,0.2,1.6,1.0,2.4,5
high,0.05,0.3,2.4,1.0,4.8,5
high,0.05,0.5,3.0,1.0,6.2,5
high,0.05,1.0,24.0,24.0,24.0,5
high,0.1,0.0,1.0,0.0,2.2,5
high,0.1,0.05,1.8,1.2,2.6,5
high,0.1,0.1,1.8,1.2,2.6,5
high,0.1,0.2,1.8,1.2,2.6,5
high,0.1,0.3,2.6,1.2,5.0,5
high,0.1,0.5,4.2,1.4,8.6,5
high,0.1,1.0,24.0,24.0,24.0,5
low,0.0,0.0,0.8,0.0,1.6,5
low,0.0,0.05,1.4,1.0,1.8,5
low,0.0,0.1,1.4,1.0,1.8,5
low,0.0,0.2,1.4,1.0,1.8,5
low,0.0,0.3,1.4,1.0,1.8,5
low,0.0,0.5,3.4,1.0,5.8,5
low,0.0,1.0,24.0,24.0,24.0,5
low,0.05,0.0,0.8,0.0,1.6,5
low,0.05,0.05,1.4,1.0,1.8,5
low,0.05,0.1,1.4,1.0,1.8,5
low,0.05,0.2,1.4,1.0,1.8,5
low,0.05,0.3,1.4,1.0,1.8,5
low,0.05,0.5,3.4,1.0,5.8,5
low,0.05,1.0,24.0,24.0,24.0,5
low,0.1,0.0,0.8,0.0,1.6,5
low,0.1,0.05,1.4,1.0,1.8,5
low,0.1,0.1,1.4,1.0,1.8,5
low,0.1,0.2,1.4,1.0,1.8,5
low,0.1,0.3,1.4,1.0,1.8,5
low,0.1,0.5,3.4,1.0,5.8,5
low,0.1,1.0,24.0,24.0,24.0,5
