proposer,rho,mean_horizon,ci_lo,ci_hi,n
null,0.0,0.0000,0.0000,0.0000,6
null,0.1,1.1667,1.0000,1.5000,6
null,0.2,1.1667,1.0000,1.5000,6
null,0.3,1.1667,1.0000,1.5000,6
null,0.5,1.3333,1.0000,2.0000,6
null,1.0,24.0000,24.0000,24.0000,6
flat,0.0,0.0000,0.0000,0.0000,6
flat,0.1,1.0000,1.0000,1.0000,6
flat,0.2,1.0000,1.0000,1.0000,6
flat,0.3,1.0000,1.0000,1.0000,6
flat,0.5,1.0000,1.0000,1.0000,6
flat,1.0,24.0000,24.0000,24.0000,6
graph,0.0,0.0000,0.0000,0.0000,6
graph,0.1,3.1667,1.1667,5.6667,6
graph,0.2,3.1667,1.1667,5.6667,6
graph,0.3,4.3333,1.1667,8.5000,6
graph,0.5,4.6667,1.3333,9.0000,6
graph,1.0,24.0000,24.0000,24.0000,6
oracle,0.0,24.0000,24.0000,24.0000,6
oracle,0.1,24.0000,24.0000,24.0000,6
oracle,0.2,24.0000,24.0000,24.0000,6
oracle,0.3,24.0000,24.0000,24.0000,6
oracle,0.5,24.0000,24.0000,24.0000,6
oracle,1.0,24.0000,24.0000,24.0000,6
