d_model,observed_fraction,metric,mean,ci_lo,ci_hi,n
16,0.25,residual_gap,0.002632,-0.023684,0.031579,4
16,0.25,residual_acc_residual,0.331579,0.305263,0.352632,4
16,0.25,residual_acc_likelihood,0.328947,0.305263,0.350000,4
32,0.25,residual_gap,0.002632,-0.015789,0.021053,4
32,0.25,residual_acc_residual,0.355263,0.342105,0.365789,4
32,0.25,residual_acc_likelihood,0.352632,0.342105,0.365789,4
64,0.25,residual_gap,0.005263,-0.010526,0.021053,4
64,0.25,residual_acc_residual,0.363158,0.344737,0.381579,4
64,0.25,residual_acc_likelihood,0.357895,0.339474,0.373684,4
16,0.5,residual_gap,0.015625,-0.018750,0.050000,4
16,0.5,residual_acc_residual,0.350000,0.328125,0.384375,4
16,0.5,residual_acc_likelihood,0.334375,0.309375,0.356250,4
32,0.5,residual_gap,0.000000,-0.018750,0.018750,4
32,0.5,residual_acc_residual,0.356250,0.343750,0.362500,4
32,0.5,residual_acc_likelihood,0.356250,0.343750,0.371875,4
64,0.5,residual_gap,-0.006250,-0.025000,0.012500,4
64,0.5,residual_acc_residual,0.359375,0.350000,0.371875,4
64,0.5,residual_acc_likelihood,0.365625,0.350000,0.381250,4
16,0.75,residual_gap,-0.026042,-0.052083,0.000000,4
16,0.75,residual_acc_residual,0.317708,0.302083,0.333333,4
16,0.75,residual_acc_likelihood,0.343750,0.322917,0.364583,4
32,0.75,residual_gap,-0.026042,-0.052083,-0.005208,4
32,0.75,residual_acc_residual,0.348958,0.333333,0.364583,4
32,0.75,residual_acc_likelihood,0.375000,0.359375,0.390625,4
64,0.75,residual_gap,-0.093750,-0.130208,-0.057292,4
64,0.75,residual_acc_residual,0.296875,0.270833,0.322917,4
64,0.75,residual_acc_likelihood,0.390625,0.375000,0.406250,4
