world_size,model_label,metric,mean,ci_lo,ci_hi,n
25,d64-mp3,collapse_gap_rank,7.453084,6.413085,8.456512,3
25,d64-mp3,collapse_gap_std,0.212088,0.179667,0.228931,3
25,d64-mp3,residual_gap,0.000000,-0.012821,0.012821,3
25,d64-mp3,oracle_off_rank,21.833506,21.246222,22.379498,3
25,d64-mp3,learned_off_rank,14.380422,13.922985,14.833137,3
25,d64-mp3,residual_acc_residual,0.435897,0.423077,0.448718,3
25,d64-mp3,residual_acc_likelihood,0.435897,0.423077,0.448718,3
25,d128-mp3,collapse_gap_rank,13.444916,12.953852,14.380772,3
25,d128-mp3,collapse_gap_std,0.183557,0.177789,0.189001,3
25,d128-mp3,residual_gap,0.038462,0.012821,0.064103,3
25,d128-mp3,oracle_off_rank,27.824546,27.282341,28.793835,3
25,d128-mp3,learned_off_rank,14.379629,14.328489,14.413063,3
25,d128-mp3,residual_acc_residual,0.461538,0.448718,0.474359,3
25,d128-mp3,residual_acc_likelihood,0.423077,0.410256,0.435897,3
50,d64-mp3,collapse_gap_rank,6.139107,4.960487,8.229500,3
50,d64-mp3,collapse_gap_std,0.177965,0.162314,0.195407,3
50,d64-mp3,residual_gap,-0.003876,-0.023256,0.034884,3
50,d64-mp3,oracle_off_rank,20.684429,18.746988,22.965775,3
50,d64-mp3,learned_off_rank,14.545322,13.519655,15.380037,3
50,d64-mp3,residual_acc_residual,0.399225,0.383721,0.418605,3
50,d64-mp3,residual_acc_likelihood,0.403101,0.360465,0.441860,3
50,d128-mp3,collapse_gap_rank,13.232184,12.359140,13.910018,3
50,d128-mp3,collapse_gap_std,0.159098,0.140586,0.179826,3
50,d128-mp3,residual_gap,0.027132,0.023256,0.034884,3
50,d128-mp3,oracle_off_rank,27.638884,27.523268,27.788021,3
50,d128-mp3,learned_off_rank,14.406700,13.878003,15.164127,3
50,d128-mp3,residual_acc_residual,0.426357,0.418605,0.430233,3
50,d128-mp3,residual_acc_likelihood,0.399225,0.395349,0.406977,3
100,d64-mp3,collapse_gap_rank,5.346190,4.928031,5.714073,3
100,d64-mp3,collapse_gap_std,0.107471,0.086475,0.120491,3
100,d64-mp3,residual_gap,-0.038760,-0.069767,0.000000,3
100,d64-mp3,oracle_off_rank,19.099356,18.695820,19.309137,3
100,d64-mp3,learned_off_rank,13.753166,12.981747,14.365079,3
100,d64-mp3,residual_acc_residual,0.360465,0.337209,0.383721,3
100,d64-mp3,residual_acc_likelihood,0.399225,0.383721,0.430233,3
100,d128-mp3,collapse_gap_rank,6.939077,5.354817,8.401777,3
100,d128-mp3,collapse_gap_std,0.125910,0.105790,0.151692,3
100,d128-mp3,residual_gap,-0.011628,-0.034884,0.000000,3
100,d128-mp3,oracle_off_rank,21.185415,19.769426,22.313847,3
100,d128-mp3,learned_off_rank,14.246339,13.912069,14.414609,3
100,d128-mp3,residual_acc_residual,0.399225,0.372093,0.418605,3
100,d128-mp3,residual_acc_likelihood,0.410853,0.406977,0.418605,3
200,d64-mp3,collapse_gap_rank,3.217654,2.899510,3.626189,3
200,d64-mp3,collapse_gap_std,0.094840,0.086920,0.108402,3
200,d64-mp3,residual_gap,0.011628,-0.011628,0.034884,3
200,d64-mp3,oracle_off_rank,17.239794,17.045134,17.356850,3
200,d64-mp3,learned_off_rank,14.022141,13.691211,14.229589,3
200,d64-mp3,residual_acc_residual,0.410853,0.395349,0.418605,3
200,d64-mp3,residual_acc_likelihood,0.399225,0.383721,0.430233,3
200,d128-mp3,collapse_gap_rank,4.139554,3.569107,4.986172,3
200,d128-mp3,collapse_gap_std,0.064266,0.057844,0.076031,3
200,d128-mp3,residual_gap,0.003876,-0.011628,0.011628,3
200,d128-mp3,oracle_off_rank,18.678808,18.086782,19.030178,3
200,d128-mp3,learned_off_rank,14.539254,14.044006,15.056081,3
200,d128-mp3,residual_acc_residual,0.406977,0.395349,0.418605,3
200,d128-mp3,residual_acc_likelihood,0.403101,0.395349,0.406977,3
