k_negatives,metric,mean,ci_lo,ci_hi,n
8,lift_top1,-0.075397,-0.125000,0.021825,3
8,lift_mrr,-0.050759,-0.131070,0.035780,3
8,oracle_top1,0.310847,0.273810,0.376984,3
8,vicreg_top1,0.386243,0.355159,0.404762,3
16,lift_top1,0.017196,-0.055556,0.063492,3
16,lift_mrr,0.000564,-0.062335,0.041501,3
16,oracle_top1,0.403439,0.349206,0.442460,3
16,vicreg_top1,0.386243,0.355159,0.404762,3
32,lift_top1,0.032407,0.023810,0.043651,3
32,lift_mrr,0.024175,0.000827,0.052811,3
32,oracle_top1,0.418651,0.398810,0.428571,3
32,vicreg_top1,0.386243,0.355159,0.404762,3
