world_size,model_label,metric,mean,ci_lo,ci_hi,n
5,d48-mp3,lift_top1,0.099702,0.059028,0.139881,4
5,d48-mp3,lift_mrr,0.102543,0.067692,0.145112,4
5,d48-mp3,oracle_top1,0.473214,0.450397,0.486111,4
5,d48-mp3,vicreg_top1,0.373512,0.345238,0.398810,4
5,d48-mp3,oracle_std,0.713205,0.703332,0.721945,4
5,d48-mp3,vicreg_std,0.504375,0.488865,0.527976,4
5,d48-mp3,none_std,0.210577,0.135896,0.267131,4
10,d48-mp3,lift_top1,0.353671,0.266369,0.448413,4
10,d48-mp3,lift_mrr,0.277112,0.209058,0.351389,4
10,d48-mp3,oracle_top1,0.615079,0.555060,0.656250,4
10,d48-mp3,vicreg_top1,0.261409,0.184028,0.307540,4
10,d48-mp3,oracle_std,0.704846,0.686606,0.724918,4
10,d48-mp3,vicreg_std,0.473281,0.453975,0.493723,4
10,d48-mp3,none_std,0.046198,0.023802,0.068594,4
15,d48-mp3,lift_top1,0.093750,0.054563,0.124504,4
15,d48-mp3,lift_mrr,0.123799,0.086748,0.155257,4
15,d48-mp3,oracle_top1,0.452381,0.427579,0.474206,4
15,d48-mp3,vicreg_top1,0.358631,0.312996,0.418651,4
15,d48-mp3,oracle_std,0.791558,0.778710,0.803144,4
15,d48-mp3,vicreg_std,0.473588,0.442404,0.496514,4
15,d48-mp3,none_std,0.031026,0.025848,0.040278,4
