arm,rho,h_mean,ci_lo,ci_hi,n
floor,0.0000,18.750000,13.000000,24.500000,4
ceiling,1.0000,96.000000,96.000000,96.000000,4
fixed,0.0500,18.750000,13.000000,24.500000,4
composed,0.0500,18.750000,13.000000,24.500000,4
fixed,0.1000,18.750000,13.000000,24.500000,4
composed,0.1000,18.750000,13.000000,24.500000,4
fixed,0.2000,18.750000,13.000000,24.500000,4
composed,0.2000,29.500000,25.500000,33.500000,4
fixed,0.3000,24.750000,16.000000,31.500000,4
composed,0.3000,42.000000,33.000000,51.500000,4
fixed,0.5000,31.500000,25.500000,37.000000,4
composed,0.5000,61.250000,52.250000,74.750000,4
