proposer,arm,rho,h_mean,ci_lo,ci_hi,n
flat,floor,0.0000,18.750000,13.000000,24.500000,4
flat,ceiling,1.0000,96.000000,96.000000,96.000000,4
flat,fixed,0.0500,18.750000,13.000000,24.500000,4
flat,composed,0.0500,18.750000,13.000000,24.500000,4
flat,fixed,0.1000,18.750000,13.000000,24.500000,4
flat,composed,0.1000,18.750000,13.000000,24.500000,4
flat,fixed,0.2000,18.750000,13.000000,24.500000,4
flat,composed,0.2000,29.500000,25.500000,33.500000,4
flat,fixed,0.3000,24.750000,16.000000,31.500000,4
flat,composed,0.3000,42.000000,33.000000,51.500000,4
flat,fixed,0.5000,31.500000,25.500000,37.000000,4
flat,composed,0.5000,61.250000,52.250000,74.750000,4
graph,floor,0.0000,0.500000,0.000000,1.500000,4
graph,ceiling,1.0000,96.000000,96.000000,96.000000,4
graph,fixed,0.0500,2.750000,1.250000,5.000000,4
graph,composed,0.0500,7.500000,5.000000,10.500000,4
graph,fixed,0.1000,2.750000,1.250000,5.000000,4
graph,composed,0.1000,10.000000,8.500000,11.500000,4
graph,fixed,0.2000,2.750000,1.250000,5.000000,4
graph,composed,0.2000,17.250000,11.000000,21.250000,4
graph,fixed,0.3000,3.250000,1.250000,6.500000,4
graph,composed,0.3000,21.750000,13.000000,28.750000,4
graph,fixed,0.5000,10.500000,3.000000,20.500000,4
graph,composed,0.5000,31.500000,15.000000,48.000000,4
