arm,rho,h_mean,ci_lo,ci_hi,n
floor,0.0000,9.000000,6.000000,14.250000,4
ceiling,1.0000,48.000000,48.000000,48.000000,4
fixed,0.0500,9.000000,6.000000,14.250000,4
composed,0.0500,9.000000,6.000000,14.250000,4
fixed,0.1000,9.000000,6.000000,14.250000,4
composed,0.1000,9.000000,6.000000,14.250000,4
fixed,0.2000,9.000000,6.000000,14.250000,4
composed,0.2000,13.500000,8.750000,18.000000,4
fixed,0.3000,13.250000,8.500000,18.000000,4
composed,0.3000,15.500000,9.000000,19.000000,4
fixed,0.5000,13.000000,8.000000,18.000000,4
composed,0.5000,20.750000,9.250000,29.000000,4
