n_train,n_seeds,metric,mean,ci_lo,ci_hi,n
1200,12,one_step_acc_id,0.705556,0.608333,0.766667,3
1200,12,h_free_id,7.666667,6.250000,10.000000,3
1200,12,h_indep_id,2.569958,1.553191,3.285714,3
1200,12,horizon_efficiency_id,3.187155,2.054348,4.023973,3
1200,12,one_step_acc_ood,0.741667,0.700000,0.800000,3
1200,12,h_free_ood,6.083333,4.750000,8.000000,3
1200,12,h_indep_ood,2.989899,2.333333,4.000000,3
1200,12,horizon_efficiency_ood,2.193042,1.187500,3.034483,3
2400,24,one_step_acc_id,0.775000,0.733333,0.800000,3
2400,24,h_free_id,13.000000,10.750000,17.000000,3
2400,24,h_indep_id,3.516667,2.750000,4.000000,3
2400,24,horizon_efficiency_id,3.943281,2.687500,6.181818,3
2400,24,one_step_acc_ood,0.797222,0.750000,0.841667,3
2400,24,h_free_ood,12.416667,4.750000,19.500000,3
2400,24,h_indep_ood,4.105263,3.000000,5.315789,3
2400,24,horizon_efficiency_ood,3.367299,0.893564,4.875000,3
4800,48,one_step_acc_id,0.863889,0.808333,0.900000,3
4800,48,h_free_id,13.916667,7.500000,19.500000,3
4800,48,h_indep_id,6.929607,4.217391,9.000000,3
4800,48,horizon_efficiency_id,1.997570,1.638889,2.575472,3
4800,48,one_step_acc_ood,0.902778,0.850000,0.941667,3
4800,48,h_free_ood,12.166667,4.000000,25.750000,3
4800,48,h_indep_ood,10.936508,5.666667,16.142857,3
4800,48,horizon_efficiency_ood,0.971550,0.613636,1.595133,3
9600,96,one_step_acc_id,0.877778,0.858333,0.891667,3
9600,96,h_free_id,16.166667,12.500000,19.500000,3
9600,96,h_indep_id,7.287007,6.058824,8.230769,3
9600,96,horizon_efficiency_id,2.305461,1.518692,3.218447,3
9600,96,one_step_acc_ood,0.891667,0.858333,0.908333,3
9600,96,h_free_ood,17.333333,7.000000,24.250000,3
9600,96,h_indep_ood,8.625668,6.058824,9.909091,3
9600,96,horizon_efficiency_ood,1.898875,1.155340,2.447248,3
