n_train,n_seeds,metric,mean,ci_lo,ci_hi,n
960,16,one_step_acc_id,0.651042,0.625000,0.671875,3
960,16,h_free_id,0.000000,0.000000,0.000000,3
960,16,h_indep_id,1.874459,1.666667,2.047619,3
960,16,horizon_efficiency_id,0.000000,0.000000,0.000000,3
960,16,one_step_acc_ood,0.640625,0.625000,0.656250,3
960,16,h_free_ood,0.000000,0.000000,0.000000,3
960,16,h_indep_ood,1.786122,1.666667,1.909091,3
960,16,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
2400,40,one_step_acc_id,0.651042,0.640625,0.656250,3
2400,40,h_free_id,1.000000,0.000000,3.000000,3
2400,40,h_indep_id,1.866930,1.782609,1.909091,3
2400,40,horizon_efficiency_id,0.523810,0.000000,1.571429,3
2400,40,one_step_acc_ood,0.723958,0.703125,0.750000,3
2400,40,h_free_ood,1.111111,0.000000,3.333333,3
2400,40,h_indep_ood,2.641326,2.368421,3.000000,3
2400,40,horizon_efficiency_ood,0.370370,0.000000,1.111111,3
4800,80,one_step_acc_id,0.593750,0.578125,0.609375,3
4800,80,h_free_id,0.000000,0.000000,0.000000,3
4800,80,h_indep_id,1.463970,1.370370,1.560000,3
4800,80,horizon_efficiency_id,0.000000,0.000000,0.000000,3
4800,80,one_step_acc_ood,0.692708,0.687500,0.703125,3
4800,80,h_free_ood,0.000000,0.000000,0.000000,3
4800,80,h_indep_ood,2.256140,2.200000,2.368421,3
4800,80,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
9600,160,one_step_acc_id,0.598958,0.593750,0.609375,3
9600,160,h_free_id,0.111111,0.000000,0.333333,3
9600,160,h_indep_id,1.494359,1.461538,1.560000,3
9600,160,horizon_efficiency_id,0.071225,0.000000,0.213675,3
9600,160,one_step_acc_ood,0.703125,0.687500,0.718750,3
9600,160,h_free_ood,0.222222,0.000000,0.666667,3
9600,160,h_indep_ood,2.374659,2.200000,2.555556,3
9600,160,horizon_efficiency_ood,0.101010,0.000000,0.303030,3
