scale,params,metric,mean,ci_lo,ci_hi,n
s@5h,8192,one_step_acc_id,0.640625,0.625000,0.656250,3
s@5h,8192,h_free_id,0.000000,0.000000,0.000000,3
s@5h,8192,h_indep_id,1.786122,1.666667,1.909091,3
s@5h,8192,horizon_efficiency_id,0.000000,0.000000,0.000000,3
s@5h,8192,one_step_acc_ood,0.692708,0.671875,0.703125,3
s@5h,8192,h_free_ood,0.000000,0.000000,0.000000,3
s@5h,8192,h_indep_ood,2.261487,2.047619,2.368421,3
s@5h,8192,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
m@10h,32768,one_step_acc_id,0.635417,0.609375,0.656250,3
m@10h,32768,h_free_id,0.000000,0.000000,0.000000,3
m@10h,32768,h_indep_id,1.750567,1.560000,1.909091,3
m@10h,32768,horizon_efficiency_id,0.000000,0.000000,0.000000,3
m@10h,32768,one_step_acc_ood,0.671875,0.671875,0.671875,3
m@10h,32768,h_free_ood,0.000000,0.000000,0.000000,3
m@10h,32768,h_indep_ood,2.047619,2.047619,2.047619,3
m@10h,32768,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
l@20h,110592,one_step_acc_id,0.572917,0.546875,0.593750,3
l@20h,110592,h_free_id,0.000000,0.000000,0.000000,3
l@20h,110592,h_indep_id,1.346268,1.206897,1.461538,3
l@20h,110592,horizon_efficiency_id,0.000000,0.000000,0.000000,3
l@20h,110592,one_step_acc_ood,0.661458,0.640625,0.671875,3
l@20h,110592,h_free_ood,0.000000,0.000000,0.000000,3
l@20h,110592,h_indep_ood,1.959282,1.782609,2.047619,3
l@20h,110592,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
xl@40h,196608,one_step_acc_id,0.598958,0.593750,0.609375,3
xl@40h,196608,h_free_id,0.000000,0.000000,0.000000,3
xl@40h,196608,h_indep_id,1.494359,1.461538,1.560000,3
xl@40h,196608,horizon_efficiency_id,0.000000,0.000000,0.000000,3
xl@40h,196608,one_step_acc_ood,0.671875,0.671875,0.671875,3
xl@40h,196608,h_free_ood,0.000000,0.000000,0.000000,3
xl@40h,196608,h_indep_ood,2.047619,2.047619,2.047619,3
xl@40h,196608,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
