scale,params,metric,mean,ci_lo,ci_hi,n
xs,1024,one_step_acc_id,0.635417,0.609375,0.656250,3
xs,1024,h_free_id,0.000000,0.000000,0.000000,3
xs,1024,h_indep_id,1.750567,1.560000,1.909091,3
xs,1024,horizon_efficiency_id,0.000000,0.000000,0.000000,3
xs,1024,one_step_acc_ood,0.640625,0.609375,0.671875,3
xs,1024,h_free_ood,0.000000,0.000000,0.000000,3
xs,1024,h_indep_ood,1.796743,1.560000,2.047619,3
xs,1024,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
s,8192,one_step_acc_id,0.656250,0.625000,0.687500,3
s,8192,h_free_id,0.666667,0.000000,2.000000,3
s,8192,h_indep_id,1.925253,1.666667,2.200000,3
s,8192,horizon_efficiency_id,0.349206,0.000000,1.047619,3
s,8192,one_step_acc_ood,0.671875,0.656250,0.687500,3
s,8192,h_free_ood,0.888889,0.000000,2.666667,3
s,8192,h_indep_ood,2.052237,1.909091,2.200000,3
s,8192,horizon_efficiency_ood,0.434109,0.000000,1.302326,3
m,32768,one_step_acc_id,0.666667,0.656250,0.687500,3
m,32768,h_free_id,0.000000,0.000000,0.000000,3
m,32768,h_indep_id,2.006061,1.909091,2.200000,3
m,32768,horizon_efficiency_id,0.000000,0.000000,0.000000,3
m,32768,one_step_acc_ood,0.671875,0.640625,0.703125,3
m,32768,h_free_ood,0.000000,0.000000,0.000000,3
m,32768,h_indep_ood,2.066216,1.782609,2.368421,3
m,32768,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
l,110592,one_step_acc_id,0.656250,0.625000,0.671875,3
l,110592,h_free_id,0.000000,0.000000,0.000000,3
l,110592,h_indep_id,1.920635,1.666667,2.047619,3
l,110592,horizon_efficiency_id,0.000000,0.000000,0.000000,3
l,110592,one_step_acc_ood,0.640625,0.625000,0.656250,3
l,110592,h_free_ood,0.000000,0.000000,0.000000,3
l,110592,h_indep_ood,1.786122,1.666667,1.909091,3
l,110592,horizon_efficiency_ood,0.000000,0.000000,0.000000,3
