scale,params,metric,mean,ci_lo,ci_hi,n
xs,1024,one_step_acc_id,0.105556,0.091667,0.125000,3
xs,1024,h_free_id,1.000000,0.750000,1.250000,3
xs,1024,h_indep_id,0.118295,0.100917,0.142857,3
xs,1024,horizon_efficiency_id,8.560606,7.000000,11.250000,3
xs,1024,one_step_acc_ood,0.105556,0.083333,0.125000,3
xs,1024,h_free_ood,0.750000,0.500000,1.000000,3
xs,1024,h_indep_ood,0.118421,0.090909,0.142857,3
xs,1024,horizon_efficiency_ood,6.326923,5.250000,8.230769,3
s,8192,one_step_acc_id,0.213889,0.158333,0.266667,3
s,8192,h_free_id,2.416667,1.250000,3.250000,3
s,8192,h_indep_id,0.276117,0.188119,0.363636,3
s,8192,horizon_efficiency_id,8.652412,6.644737,11.750000,3
s,8192,one_step_acc_ood,0.258333,0.233333,0.308333,3
s,8192,h_free_ood,1.500000,0.750000,2.250000,3
s,8192,h_indep_ood,0.351493,0.304348,0.445783,3
s,8192,horizon_efficiency_ood,4.407336,2.464286,7.392857,3
m,32768,one_step_acc_id,0.300000,0.225000,0.350000,3
m,32768,h_free_id,2.916667,1.250000,4.000000,3
m,32768,h_indep_id,0.436755,0.290323,0.538462,3
m,32768,horizon_efficiency_id,6.371083,4.305556,8.307692,3
m,32768,one_step_acc_ood,0.436111,0.375000,0.541667,3
m,32768,h_free_ood,1.333333,0.750000,1.750000,3
m,32768,h_indep_ood,0.808551,0.600000,1.181818,3
m,32768,horizon_efficiency_ood,1.745772,1.250000,2.718085,3
l,110592,one_step_acc_id,0.486111,0.450000,0.508333,3
l,110592,h_free_id,5.083333,3.500000,8.250000,3
l,110592,h_indep_id,0.950693,0.818182,1.033898,3
l,110592,horizon_efficiency_id,5.304341,3.385246,8.250000,3
l,110592,one_step_acc_ood,0.516667,0.458333,0.558333,3
l,110592,h_free_ood,2.916667,2.500000,3.750000,3
l,110592,h_indep_ood,1.084387,0.846154,1.264151,3
l,110592,horizon_efficiency_ood,2.702821,2.187500,2.966418,3
