scale,params,metric,mean,ci_lo,ci_hi,n
m@4800,32768,one_step_acc_id,0.816667,0.791667,0.833333,3
m@4800,32768,h_free_id,17.000000,13.250000,19.250000,3
m@4800,32768,h_indep_id,4.504762,3.800000,5.000000,3
m@4800,32768,horizon_efficiency_id,3.858799,2.810606,5.065789,3
m@4800,32768,one_step_acc_ood,0.902778,0.891667,0.908333,3
m@4800,32768,h_free_ood,20.500000,16.750000,24.500000,3
m@4800,32768,h_indep_ood,9.349650,8.230769,9.909091,3
m@4800,32768,horizon_efficiency_ood,2.236860,1.690367,2.976636,3
l@9600,110592,one_step_acc_id,0.875000,0.858333,0.891667,3
l@9600,110592,h_free_id,19.166667,18.750000,19.500000,3
l@9600,110592,h_indep_id,7.096531,6.058824,8.230769,3
l@9600,110592,horizon_efficiency_id,2.741638,2.369159,3.177184,3
l@9600,110592,one_step_acc_ood,0.919444,0.908333,0.925000,3
l@9600,110592,h_free_ood,28.750000,27.750000,29.750000,3
l@9600,110592,h_indep_ood,11.525253,9.909091,12.333333,3
l@9600,110592,horizon_efficiency_ood,2.514567,2.331081,2.800459,3
xl@16000,262144,one_step_acc_id,0.886111,0.850000,0.908333,3
xl@16000,262144,h_free_id,16.166667,13.750000,19.500000,3
xl@16000,262144,h_indep_id,8.191919,5.666667,9.909091,3
xl@16000,262144,horizon_efficiency_id,2.081819,1.387615,2.691176,3
xl@16000,262144,one_step_acc_ood,0.908333,0.875000,0.933333,3
xl@16000,262144,h_free_ood,16.750000,12.000000,20.750000,3
xl@16000,262144,h_indep_ood,10.666667,7.000000,14.000000,3
xl@16000,262144,horizon_efficiency_ood,1.595779,1.482143,1.714286,3
xxl@24000,409600,one_step_acc_id,0.788889,0.775000,0.816667,3
xxl@24000,409600,h_free_id,6.250000,3.250000,8.750000,3
xxl@24000,409600,h_indep_id,3.781145,3.444444,4.454545,3
xxl@24000,409600,horizon_efficiency_id,1.666392,0.943548,2.540323,3
xxl@24000,409600,one_step_acc_ood,0.861111,0.833333,0.883333,3
xxl@24000,409600,h_free_ood,6.083333,3.750000,10.750000,3
xxl@24000,409600,h_indep_ood,6.357143,5.000000,7.571429,3
xxl@24000,409600,horizon_efficiency_ood,0.966376,0.495283,1.653846,3
