scale,params,metric,mean,ci_lo,ci_hi,n
xs,1024,one_step_acc_id,0.472222,0.416667,0.508333,3
xs,1024,h_free_id,1.750000,0.750000,2.500000,3
xs,1024,h_indep_id,0.905132,0.714286,1.033898,3
xs,1024,horizon_efficiency_id,1.856391,1.050000,2.584746,3
xs,1024,one_step_acc_ood,0.533333,0.516667,0.550000,3
xs,1024,h_free_ood,1.916667,0.500000,3.000000,3
xs,1024,h_indep_ood,1.144682,1.068966,1.222222,3
xs,1024,horizon_efficiency_ood,1.665628,0.437500,2.454545,3
s,8192,one_step_acc_id,0.738889,0.708333,0.791667,3
s,8192,h_free_id,10.500000,7.500000,13.750000,3
s,8192,h_indep_id,2.919328,2.428571,3.800000,3
s,8192,horizon_efficiency_id,3.601375,2.965116,4.220588,3
s,8192,one_step_acc_ood,0.800000,0.741667,0.841667,3
s,8192,h_free_ood,9.000000,8.250000,10.250000,3
s,8192,h_indep_ood,4.213768,2.870968,5.315789,3
s,8192,horizon_efficiency_ood,2.246978,1.852041,2.960674,3
m,32768,one_step_acc_id,0.822222,0.791667,0.841667,3
m,32768,h_free_id,15.833333,14.250000,16.750000,3
m,32768,h_indep_id,4.705263,3.800000,5.315789,3
m,32768,horizon_efficiency_id,3.447698,2.850000,4.342105,3
m,32768,one_step_acc_ood,0.861111,0.800000,0.933333,3
m,32768,h_free_ood,17.416667,16.750000,18.500000,3
m,32768,h_indep_ood,7.888889,4.000000,14.000000,3
m,32768,horizon_efficiency_ood,2.940476,1.196429,4.625000,3
l,110592,one_step_acc_id,0.788889,0.741667,0.850000,3
l,110592,h_free_id,15.666667,14.500000,16.500000,3
l,110592,h_indep_id,3.994026,2.870968,5.666667,3
l,110592,horizon_efficiency_id,4.221471,2.823529,5.050562,3
l,110592,one_step_acc_ood,0.866667,0.850000,0.891667,3
l,110592,h_free_ood,16.333333,14.250000,19.750000,3
l,110592,h_indep_ood,6.652086,5.666667,8.230769,3
l,110592,horizon_efficiency_ood,2.532282,1.822430,3.259709,3
