sweep,arm,x_value,goal_reach,gr_lo,gr_hi,reach_horizon,rho,n
distance,flat,4.000000,0.500000,0.166667,1.000000,2.833333,0.000000,6
distance,landmark,4.000000,0.500000,0.166667,1.000000,2.833333,0.000000,6
distance,flat,8.000000,0.333333,0.000000,0.666667,4.500000,0.000000,6
distance,landmark,8.000000,0.666667,0.333333,1.000000,4.500000,0.125000,6
distance,flat,12.000000,0.333333,0.000000,0.666667,5.833333,0.000000,6
distance,landmark,12.000000,0.666667,0.166667,1.000000,5.833333,0.166667,6
distance,flat,16.000000,0.166667,0.000000,0.500000,6.666667,0.000000,6
distance,landmark,16.000000,0.666667,0.333333,1.000000,6.666667,0.187500,6
distance,flat,20.000000,0.166667,0.000000,0.500000,7.333333,0.000000,6
distance,landmark,20.000000,0.833333,0.500000,1.000000,7.333333,0.200000,6
budget,flat,0.000000,0.166667,0.000000,0.500000,6.666667,0.000000,6
budget,landmark,0.500000,0.833333,0.500000,1.000000,7.666667,0.437500,6
budget,landmark,0.250000,0.666667,0.333333,1.000000,6.666667,0.187500,6
budget,landmark,0.125000,0.333333,0.000000,0.833333,6.666667,0.062500,6
