edge_metric,goal_distance,goal_reach,gr_lo,gr_hi,horizon,n
reachability,4.000000,0.500000,0.166667,1.000000,2.833333,6
exact,4.000000,0.000000,0.000000,0.000000,0.000000,6
reachability,8.000000,0.666667,0.333333,1.000000,4.500000,6
exact,8.000000,0.500000,0.166667,1.000000,0.000000,6
reachability,12.000000,0.666667,0.166667,1.000000,5.833333,6
exact,12.000000,0.166667,0.000000,0.500000,0.000000,6
reachability,16.000000,0.666667,0.333333,1.000000,6.666667,6
exact,16.000000,0.000000,0.000000,0.000000,0.000000,6
reachability,20.000000,0.833333,0.500000,1.000000,7.333333,6
exact,20.000000,0.333333,0.000000,0.666667,0.000000,6
