policy,budget,goal_reach,gr_lo,gr_hi,n
random,1.000000,0.000000,0.000000,0.000000,6
random,2.000000,0.333333,0.000000,0.666667,6
random,3.000000,0.500000,0.166667,0.833333,6
random,4.000000,0.500000,0.166667,0.833333,6
random,5.000000,0.500000,0.166667,0.833333,6
betweenness,1.000000,0.000000,0.000000,0.000000,6
betweenness,2.000000,0.000000,0.000000,0.000000,6
betweenness,3.000000,0.000000,0.000000,0.000000,6
betweenness,4.000000,0.333333,0.000000,0.666667,6
betweenness,5.000000,0.500000,0.166667,0.833333,6
belief_variance,1.000000,0.333333,0.000000,0.666667,6
belief_variance,2.000000,0.500000,0.166667,0.833333,6
belief_variance,3.000000,0.500000,0.166667,0.833333,6
belief_variance,4.000000,0.500000,0.166667,0.833333,6
belief_variance,5.000000,0.500000,0.166667,0.833333,6
combined,1.000000,0.333333,0.000000,0.666667,6
combined,2.000000,0.500000,0.166667,0.833333,6
combined,3.000000,0.500000,0.166667,0.833333,6
combined,4.000000,0.500000,0.166667,0.833333,6
combined,5.000000,0.500000,0.166667,0.833333,6
