policy,budget,goal_reach,gr_lo,gr_hi,n
fixed,1.000000,0.000000,0.000000,0.000000,6
fixed,2.000000,0.333333,0.000000,0.666667,6
fixed,3.000000,0.500000,0.166667,0.833333,6
fixed,4.000000,0.500000,0.166667,0.833333,6
fixed,6.000000,0.500000,0.166667,0.833333,6
reachability,1.000000,0.500000,0.166667,1.000000,6
reachability,2.000000,0.500000,0.166667,1.000000,6
reachability,3.000000,0.500000,0.166667,1.000000,6
reachability,4.000000,0.500000,0.166667,1.000000,6
reachability,6.000000,0.500000,0.166667,1.000000,6
belief_variance,1.000000,0.000000,0.000000,0.000000,6
belief_variance,2.000000,0.166667,0.000000,0.500000,6
belief_variance,3.000000,0.166667,0.000000,0.500000,6
belief_variance,4.000000,0.166667,0.000000,0.500000,6
belief_variance,6.000000,0.333333,0.000000,0.666667,6
