strategy,axis,bucket,validity,val_lo,val_hi,optimality,n
search,path_length,1.000000,1.000000,1.000000,1.000000,1.000000,58
search,path_length,2.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,3.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,4.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,5.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,6.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,7.000000,1.000000,1.000000,1.000000,1.000000,60
search,path_length,8.000000,1.000000,1.000000,1.000000,1.000000,49
greedy,path_length,1.000000,1.000000,1.000000,1.000000,1.000000,58
greedy,path_length,2.000000,0.983333,0.950000,1.000000,0.983333,60
greedy,path_length,3.000000,0.900000,0.816667,0.966667,0.900000,60
greedy,path_length,4.000000,0.833333,0.733333,0.916667,0.833333,60
greedy,path_length,5.000000,0.666667,0.550000,0.783333,0.666667,60
greedy,path_length,6.000000,0.566667,0.433333,0.700000,0.566667,60
greedy,path_length,7.000000,0.566667,0.433333,0.700000,0.566667,60
greedy,path_length,8.000000,0.387755,0.265306,0.530612,0.387755,49
search,degree,1.000000,1.000000,1.000000,1.000000,1.000000,60
search,degree,2.000000,1.000000,1.000000,1.000000,1.000000,51
search,degree,3.000000,1.000000,1.000000,1.000000,1.000000,5
search,degree,9.000000,1.000000,1.000000,1.000000,1.000000,351
greedy,degree,1.000000,1.000000,1.000000,1.000000,1.000000,60
greedy,degree,2.000000,0.901961,0.823529,0.980392,0.901961,51
greedy,degree,3.000000,0.600000,0.200000,1.000000,0.600000,5
greedy,degree,9.000000,0.680912,0.629630,0.732194,0.680912,351
