sweep,arm,x_value,goal_reach,gr_lo,gr_hi,consistency_horizon,rho,n
distance,flat,4.000000,0.083333,0.000000,0.250000,1.166667,0.000000,12
distance,landmark,4.000000,0.083333,0.000000,0.250000,1.166667,0.000000,12
distance,flat,8.000000,0.000000,0.000000,0.000000,1.416667,0.000000,12
distance,landmark,8.000000,0.166667,0.000000,0.416667,1.500000,0.125000,12
distance,flat,12.000000,0.083333,0.000000,0.250000,1.416667,0.000000,12
distance,landmark,12.000000,0.250000,0.000000,0.500000,1.750000,0.166667,12
distance,flat,16.000000,0.000000,0.000000,0.000000,1.416667,0.000000,12
distance,landmark,16.000000,0.166667,0.000000,0.416667,1.750000,0.187500,12
distance,flat,20.000000,0.000000,0.000000,0.000000,1.416667,0.000000,12
distance,landmark,20.000000,0.000000,0.000000,0.000000,1.750000,0.200000,12
budget,flat,0.000000,0.000000,0.000000,0.000000,1.416667,0.000000,12
budget,landmark,0.500000,0.250000,0.000000,0.500000,2.000000,0.437500,12
budget,landmark,0.250000,0.166667,0.000000,0.416667,1.750000,0.187500,12
budget,landmark,0.125000,0.000000,0.000000,0.000000,1.666667,0.062500,12
