sweep,arm,x_value,goal_reach,gr_lo,gr_hi,priv_horizon,rho,n
distance,flat,4.000000,0.500000,0.250000,0.750000,2.833333,0.000000,12
distance,landmark,4.000000,0.500000,0.250000,0.750000,2.833333,0.000000,12
distance,flat,8.000000,0.250000,0.000000,0.500000,3.666667,0.000000,12
distance,landmark,8.000000,0.333333,0.083333,0.583333,4.333333,0.125000,12
distance,flat,12.000000,0.083333,0.000000,0.250000,3.666667,0.000000,12
distance,landmark,12.000000,0.166667,0.000000,0.416667,4.583333,0.166667,12
distance,flat,16.000000,0.000000,0.000000,0.000000,3.666667,0.000000,12
distance,landmark,16.000000,0.250000,0.000000,0.500000,4.583333,0.187500,12
distance,flat,20.000000,0.000000,0.000000,0.000000,3.666667,0.000000,12
distance,landmark,20.000000,0.500000,0.166667,0.750000,4.583333,0.200000,12
budget,flat,0.000000,0.000000,0.000000,0.000000,3.666667,0.000000,12
budget,landmark,0.500000,0.500000,0.250000,0.833333,7.333333,0.437500,12
budget,landmark,0.250000,0.250000,0.000000,0.500000,4.583333,0.187500,12
budget,landmark,0.125000,0.083333,0.000000,0.250000,3.833333,0.062500,12
