arm,epsilon,h_free,h_lo,h_hi,p_one_step,eta0,n
teacher-forced,0.000,1.2800,0.9600,1.6000,0.5687,0.9705,5
teacher-forced,0.100,1.2800,0.9600,1.6000,0.5687,0.9705,5
teacher-forced,0.200,6.1600,5.8000,6.7200,0.5687,0.9705,5
teacher-forced,0.300,9.3200,8.9200,10.0000,0.5687,0.9705,5
teacher-forced,0.500,25.6000,22.5600,28.6400,0.5687,0.9705,5
self-forced,0.000,1.1200,0.8000,1.4400,0.5813,0.8069,5
self-forced,0.100,1.2800,0.9600,1.6000,0.5813,0.8069,5
self-forced,0.200,6.0400,5.5200,6.5600,0.5813,0.8069,5
self-forced,0.300,9.6400,9.1200,10.1600,0.5813,0.8069,5
self-forced,0.500,26.5200,24.7200,28.7200,0.5813,0.8069,5
noise-injected,0.000,1.3600,1.0400,1.6000,0.5563,1.0849,5
noise-injected,0.100,1.3600,1.0400,1.6000,0.5563,1.0849,5
noise-injected,0.200,5.8000,5.0800,6.3600,0.5563,1.0849,5
noise-injected,0.300,8.3200,7.6000,9.0400,0.5563,1.0849,5
noise-injected,0.500,25.7600,23.6000,28.8000,0.5563,1.0849,5
