grammar,rho,h_ref,h_sys,delta_h,dh_lo,dh_hi,n
structural,0.0000,4.416667,4.416667,0.000000,0.000000,0.000000,12
structural,0.1000,4.666667,4.666667,0.000000,0.000000,0.000000,12
structural,0.2500,4.666667,4.666667,0.000000,0.000000,0.000000,12
structural,0.5000,8.166667,8.166667,0.000000,0.000000,0.000000,12
weighted,0.0000,3.083333,2.416667,0.666667,0.000000,1.500000,12
weighted,0.1000,5.750000,4.000000,1.750000,0.666667,3.000000,12
weighted,0.2500,6.833333,4.416667,2.416667,0.666667,4.666667,12
weighted,0.5000,11.166667,6.333333,4.833333,1.666667,8.500000,12
adversarial,0.0000,7.000000,1.250000,5.750000,2.500000,10.166667,12
adversarial,0.1000,8.333333,2.083333,6.250000,2.583333,10.750000,12
adversarial,0.2500,7.916667,2.333333,5.583333,2.333333,9.916667,12
adversarial,0.5000,11.166667,3.000000,8.166667,4.083333,12.833333,12
