subset,harm_class,rho,framing,residual_true,residual_indep,correlation_gap,safety_adaptive,safety_random
none,explicit_injection,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,explicit_injection,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,explicit_injection,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,disguised_ops,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,disguised_ops,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,disguised_ops,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,relational,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,relational,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,relational,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,cumulative,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,cumulative,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,cumulative,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,context_dependent,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,context_dependent,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
none,context_dependent,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig,disguised_ops,0.000,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
alig,disguised_ops,0.500,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
alig,disguised_ops,1.000,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
alig,relational,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,relational,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,relational,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,cumulative,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,cumulative,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,cumulative,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,context_dependent,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,context_dependent,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig,context_dependent,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni,disguised_ops,0.000,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
moni,disguised_ops,0.500,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
moni,disguised_ops,1.000,ambient,0.330000,0.330000,0.000000,0.670000,0.670000
moni,relational,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,relational,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,relational,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,cumulative,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,cumulative,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,cumulative,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,context_dependent,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,context_dependent,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
moni,context_dependent,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
orac,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,disguised_ops,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,disguised_ops,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,disguised_ops,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,relational,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,relational,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,relational,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,cumulative,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,cumulative,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,cumulative,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,context_dependent,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,context_dependent,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
orac,context_dependent,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni,disguised_ops,0.000,ambient,0.108900,0.108900,0.000000,0.670000,0.891100
alig+moni,disguised_ops,0.500,ambient,0.219450,0.108900,0.110550,0.670000,0.780550
alig+moni,disguised_ops,1.000,ambient,0.330000,0.108900,0.221100,0.670000,0.670000
alig+moni,relational,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,relational,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,relational,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,cumulative,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,cumulative,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,cumulative,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,context_dependent,0.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,context_dependent,0.500,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+moni,context_dependent,1.000,ambient,1.000000,1.000000,0.000000,0.000000,0.000000
alig+orac,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,disguised_ops,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,disguised_ops,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,disguised_ops,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,relational,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,relational,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,relational,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,cumulative,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,cumulative,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,cumulative,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,context_dependent,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,context_dependent,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+orac,context_dependent,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,disguised_ops,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,disguised_ops,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,disguised_ops,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,relational,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,relational,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,relational,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,cumulative,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,cumulative,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,cumulative,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,context_dependent,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,context_dependent,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
moni+orac,context_dependent,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,explicit_injection,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,explicit_injection,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,explicit_injection,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,disguised_ops,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,disguised_ops,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,disguised_ops,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,relational,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,relational,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,relational,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,cumulative,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,cumulative,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,cumulative,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,context_dependent,0.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,context_dependent,0.500,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
alig+moni+orac,context_dependent,1.000,ambient,0.000000,0.000000,0.000000,1.000000,1.000000
