oracle_call,neural_reward,blind_reward,single_reward,neural_silent,blind_silent
1,0.500,0.000,0.000,0,0
2,1.000,0.000,0.000,0,0
3,1.500,0.000,0.000,0,0
4,2.000,0.500,0.000,0,0
5,2.500,0.500,0.000,0,0
6,2.500,0.500,0.000,0,0
7,2.500,1.000,0.000,0,0
8,2.500,1.500,0.000,0,0
9,2.500,1.500,0.000,0,0
10,2.500,1.500,0.000,0,0
11,2.500,1.500,0.000,0,0
12,2.500,1.500,0.000,0,0
13,3.000,1.500,0.000,0,0
14,3.500,1.500,0.000,0,0
15,4.000,1.500,0.500,0,0
16,4.000,1.500,0.500,0,0
17,4.000,1.500,0.500,0,0
18,4.500,1.500,1.000,0,0
19,5.000,2.000,1.500,0,0
20,5.000,2.500,1.500,0,0
21,5.000,2.500,1.500,0,0
22,5.500,2.500,1.500,0,0
23,6.000,2.500,1.500,0,0
24,6.000,2.500,1.500,0,0
25,6.500,3.000,1.500,0,0
26,6.500,3.500,1.500,0,0
27,6.500,3.500,1.500,0,0
28,7.000,4.000,1.500,0,0
29,7.500,4.000,1.500,0,0
30,8.000,4.000,1.500,0,0
31,8.000,4.000,2.000,0,0
32,8.000,4.500,2.000,0,0
33,8.500,5.000,2.000,0,0
34,9.000,5.000,2.000,0,0
35,9.000,5.000,2.000,0,0
36,9.500,5.000,2.000,0,0
37,9.500,5.000,2.000,0,0
38,10.000,5.500,2.000,0,0
39,10.500,5.500,2.000,0,0
40,11.000,5.500,2.000,0,0
41,11.500,5.500,2.500,0,0
42,12.000,5.500,2.500,0,0
43,12.000,5.500,2.500,0,0
44,12.500,5.500,2.500,0,0
45,13.000,5.500,3.000,0,0
46,13.500,5.500,3.500,0,0
47,14.000,5.500,3.500,0,0
48,14.500,5.500,4.000,0,0
49,15.000,5.500,4.000,0,0
50,15.500,5.500,4.000,0,0
51,15.500,5.500,4.000,0,0
52,16.000,5.500,4.000,0,0
53,16.000,5.500,4.000,0,0
54,16.000,5.500,4.000,0,0
55,16.500,5.500,4.000,0,0
56,17.000,5.500,4.000,0,0
57,17.000,5.500,4.000,0,0
58,17.500,6.000,4.000,0,0
59,18.000,6.000,4.000,0,0
60,18.500,6.000,4.000,0,0
61,18.500,6.500,4.500,0,0
62,18.500,6.500,5.000,0,0
63,19.000,7.000,5.000,0,0
64,19.500,7.000,5.000,0,0
65,19.500,7.000,5.000,0,0
66,20.000,7.000,5.500,0,0
67,20.500,7.000,5.500,0,0
68,21.000,7.500,5.500,0,0
69,21.500,7.500,5.500,0,0
70,21.500,8.000,6.000,0,0
71,22.000,8.000,6.000,0,0
72,22.500,8.000,6.000,0,0
73,22.500,8.000,6.000,0,0
74,23.000,8.500,6.000,0,0
75,23.500,8.500,6.000,0,0
76,24.000,9.000,6.000,0,0
77,24.000,9.000,6.500,0,0
78,24.000,9.000,6.500,0,0
79,24.500,9.000,7.000,0,0
