oracle_call,base_reward,folded_reward
1,0.500,0.000
2,1.000,0.000
3,1.500,0.000
4,2.000,0.000
5,2.500,0.000
6,2.500,0.000
7,2.500,0.000
8,2.500,0.000
9,2.500,0.000
10,2.500,0.000
11,2.500,0.000
12,2.500,0.000
13,3.000,0.000
14,3.500,0.000
15,4.000,0.000
16,4.000,0.000
17,4.000,0.000
18,4.500,0.000
19,5.000,0.000
20,5.000,0.000
21,5.000,0.000
22,5.500,0.000
23,6.000,0.000
24,6.000,0.000
25,6.500,0.000
26,6.500,0.000
27,6.500,0.000
28,7.000,0.000
29,7.500,0.000
30,8.000,0.000
31,8.000,0.000
32,8.000,0.000
33,8.500,0.000
34,9.000,0.000
35,9.000,0.000
36,9.500,0.000
37,9.500,0.000
38,10.000,0.000
39,10.500,0.000
40,11.000,0.000
41,11.500,0.000
42,12.000,0.000
43,12.000,0.000
44,12.500,0.000
45,13.000,0.000
46,13.500,0.000
47,14.000,0.000
48,14.500,0.000
49,15.000,0.000
50,15.500,0.000
51,15.500,0.000
52,16.000,0.000
53,16.000,0.000
54,16.000,0.000
55,16.500,0.000
56,17.000,0.000
57,17.000,0.000
58,17.500,0.000
59,18.000,0.000
60,18.500,0.000
61,18.500,0.000
62,18.500,0.000
63,19.000,0.000
64,19.500,0.000
65,19.500,0.000
66,20.000,0.000
67,20.500,0.000
68,21.000,0.000
69,21.500,0.000
70,21.500,0.000
71,22.000,0.000
72,22.500,0.000
73,22.500,0.000
74,23.000,0.000
75,23.500,0.000
76,24.000,0.000
77,24.000,0.000
78,24.000,0.000
79,24.500,0.000
80,25.000,0.000
81,25.500,0.000
82,26.000,0.000
83,26.000,0.000
84,26.500,0.000
85,27.000,0.000
86,27.000,0.000
87,27.500,0.000
88,28.000,0.000
89,28.500,0.000
90,29.000,0.000
91,29.500,0.000
92,30.000,0.000
93,30.000,0.000
94,30.000,0.000
95,30.000,0.000
96,30.500,0.000
97,31.000,0.000
98,31.500,0.000
99,32.000,0.000
100,32.000,0.000
101,32.500,0.000
102,33.000,0.000
103,33.500,0.000
104,34.000,0.000
105,34.500,0.000
106,35.000,0.000
107,35.500,0.000
108,36.000,0.000
109,36.500,0.000
110,36.500,0.000
111,37.000,0.000
112,37.500,0.000
113,37.500,0.000
114,38.000,0.000
115,38.000,0.000
116,38.500,0.000
117,39.000,0.000
118,39.500,0.000
119,40.000,0.000
120,40.500,0.000
121,41.000,0.000
122,41.500,0.000
123,42.000,0.000
124,42.000,0.000
125,42.500,0.000
126,43.000,0.000
127,43.500,0.000
128,43.500,0.000
129,44.000,0.000
130,44.000,0.000
131,44.500,0.000
132,44.500,0.000
133,45.000,0.000
134,45.500,0.000
135,46.000,0.000
136,46.500,0.000
137,47.000,0.000
138,47.500,0.000
139,48.000,0.000
140,48.500,0.000
141,49.000,0.000
142,49.500,0.000
143,49.500,0.000
144,50.000,0.000
145,50.500,0.000
146,50.500,0.000
147,51.000,0.000
148,51.500,0.000
149,52.000,0.000
150,52.500,0.000
151,53.000,0.000
152,53.500,0.000
153,54.000,0.000
154,54.500,0.000
155,55.000,0.000
156,55.500,0.000
157,56.000,0.000
158,56.500,0.000
159,57.000,0.000
160,57.000,0.000
161,57.000,0.000
162,57.500,0.000
163,58.000,0.000
164,58.500,0.000
165,58.500,0.000
166,58.500,0.000
167,59.000,0.000
168,59.500,0.000
169,60.000,0.000
170,60.500,0.000
171,61.000,0.000
172,61.500,0.000
173,62.000,0.000
174,62.500,0.000
175,62.500,0.000
176,63.000,0.000
177,63.500,0.000
178,64.000,0.000
179,64.500,0.000
180,65.000,0.000
181,65.500,0.000
182,66.000,0.000
183,66.000,0.000
184,66.500,0.000
185,67.000,0.000
186,67.500,0.000
187,67.500,0.000
188,68.000,0.000
189,68.000,0.000
190,68.500,0.000
191,69.000,0.000
