sample_prob,epsilon,h_free,h_lo,h_hi,p_one_step,p_lo,p_hi,eta0,n
0.000,0.000,1.2800,0.9600,1.6000,0.5687,0.5563,0.5844,0.9705,5
0.000,0.100,1.2800,0.9600,1.6000,0.5687,0.5563,0.5844,0.9705,5
0.000,0.200,6.1600,5.8000,6.7200,0.5687,0.5563,0.5844,0.9705,5
0.000,0.300,9.3200,8.9200,10.0000,0.5687,0.5563,0.5844,0.9705,5
0.000,0.500,25.6000,22.5600,28.6400,0.5687,0.5563,0.5844,0.9705,5
0.250,0.000,1.2000,0.8800,1.5200,0.5844,0.5625,0.6031,0.8535,5
0.250,0.100,1.3600,1.0400,1.6000,0.5844,0.5625,0.6031,0.8535,5
0.250,0.200,6.1600,5.8800,6.4400,0.5844,0.5625,0.6031,0.8535,5
0.250,0.300,9.2400,8.8400,9.9600,0.5844,0.5625,0.6031,0.8535,5
0.250,0.500,26.9600,25.0400,28.6800,0.5844,0.5625,0.6031,0.8535,5
0.500,0.000,1.6000,1.6000,1.6000,0.5813,0.5625,0.6000,1.1527,5
0.500,0.100,1.6000,1.6000,1.6000,0.5813,0.5625,0.6000,1.1527,5
0.500,0.200,6.0000,5.8000,6.2400,0.5813,0.5625,0.6000,1.1527,5
0.500,0.300,8.9600,8.8800,9.0000,0.5813,0.5625,0.6000,1.1527,5
0.500,0.500,26.9600,25.3200,28.6000,0.5813,0.5625,0.6000,1.1527,5
0.750,0.000,1.1200,0.8000,1.4400,0.5781,0.5687,0.5875,0.8173,5
0.750,0.100,1.2800,0.9600,1.6000,0.5781,0.5687,0.5875,0.8173,5
0.750,0.200,6.0000,5.5200,6.4800,0.5781,0.5687,0.5875,0.8173,5
0.750,0.300,9.6800,9.1200,10.2400,0.5781,0.5687,0.5875,0.8173,5
0.750,0.500,26.6400,24.7200,29.0400,0.5781,0.5687,0.5875,0.8173,5
1.000,0.000,1.4400,1.2800,1.6000,0.5781,0.5594,0.5969,1.0508,5
1.000,0.100,1.4400,1.2800,1.6000,0.5781,0.5594,0.5969,1.0508,5
1.000,0.200,6.1600,5.8000,6.6400,0.5781,0.5594,0.5969,1.0508,5
1.000,0.300,9.3200,8.8000,10.2000,0.5781,0.5594,0.5969,1.0508,5
1.000,0.500,26.6000,24.0000,29.2000,0.5781,0.5594,0.5969,1.0508,5
