noise_prob,magnitude,h_free,h_lo,h_hi,p_one_step,p_lo,p_hi,eta0,n
0.000,1,9.5333,8.8000,10.6000,0.5625,0.5469,0.5781,0.8296,3
0.150,1,8.8667,8.8000,9.0000,0.5625,0.5469,0.5781,1.0370,3
0.150,2,8.4000,7.4000,9.0000,0.5729,0.5469,0.6094,1.1927,3
0.150,3,10.2000,8.8000,11.2000,0.5677,0.5469,0.5938,0.8122,3
0.300,1,8.3333,7.2000,9.0000,0.5677,0.5312,0.5938,1.0153,3
0.300,2,9.2000,8.8000,9.8000,0.5625,0.5469,0.5781,0.9333,3
0.300,3,8.8667,7.2000,10.2000,0.5677,0.5469,0.5938,1.0153,3
0.450,1,8.9333,8.8000,9.0000,0.5833,0.5469,0.6250,1.1429,3
0.450,2,9.0000,8.2000,9.8000,0.5885,0.5625,0.6094,0.7923,3
0.450,3,8.2667,7.0000,9.0000,0.5833,0.5781,0.5938,0.9524,3
