arm,unroll_k,epsilon,h_free,h_lo,h_hi,p_one_step,eta0,cost_mult,n
teacher-forced,0,0.000,1.2800,0.9600,1.6000,0.5687,0.9705,1.0000,5
teacher-forced,0,0.100,1.2800,0.9600,1.6000,0.5687,0.9705,1.0000,5
teacher-forced,0,0.200,6.1600,5.8000,6.7200,0.5687,0.9705,1.0000,5
teacher-forced,0,0.300,9.3200,8.9200,10.0000,0.5687,0.9705,1.0000,5
teacher-forced,0,0.500,25.6000,22.5600,28.6400,0.5687,0.9705,1.0000,5
unrolled-k1,1,0.000,1.2800,0.9600,1.6000,0.5687,0.9705,1.0000,5
unrolled-k1,1,0.100,1.2800,0.9600,1.6000,0.5687,0.9705,1.0000,5
unrolled-k1,1,0.200,6.1600,5.8000,6.7200,0.5687,0.9705,1.0000,5
unrolled-k1,1,0.300,9.3200,8.9200,10.0000,0.5687,0.9705,1.0000,5
unrolled-k1,1,0.500,25.6000,22.5600,28.6400,0.5687,0.9705,1.0000,5
unrolled-k2,2,0.000,1.6000,1.6000,1.6000,0.5781,1.1676,1.5000,5
unrolled-k2,2,0.100,1.6000,1.6000,1.6000,0.5781,1.1676,1.5000,5
unrolled-k2,2,0.200,6.5200,6.0400,7.0000,0.5781,1.1676,1.5000,5
unrolled-k2,2,0.300,9.0800,8.9600,9.2000,0.5781,1.1676,1.5000,5
unrolled-k2,2,0.500,26.0800,24.3200,28.2400,0.5781,1.1676,1.5000,5
unrolled-k4,4,0.000,1.6000,1.6000,1.6000,0.5844,1.1380,2.5000,5
unrolled-k4,4,0.100,1.6000,1.6000,1.6000,0.5844,1.1380,2.5000,5
unrolled-k4,4,0.200,6.2800,5.4000,6.8000,0.5844,1.1380,2.5000,5
unrolled-k4,4,0.300,8.7200,7.8400,9.2000,0.5844,1.1380,2.5000,5
unrolled-k4,4,0.500,25.6000,23.5200,28.2400,0.5844,1.1380,2.5000,5
unrolled-k8,8,0.000,1.6000,1.6000,1.6000,0.5750,1.1826,4.5000,5
unrolled-k8,8,0.100,1.6000,1.6000,1.6000,0.5750,1.1826,4.5000,5
unrolled-k8,8,0.200,5.7600,5.1600,6.2800,0.5750,1.1826,4.5000,5
unrolled-k8,8,0.300,8.7600,7.8000,9.6400,0.5750,1.1826,4.5000,5
unrolled-k8,8,0.500,28.8400,25.2400,31.5200,0.5750,1.1826,4.5000,5
