trainer,steps,compute,forwards,h_free,h_lo,h_hi,p_one_step,eta0,n
teacher-forced,500,3712512000,16000,8.9333,8.8000,9.0000,0.5625,0.8296,3
teacher-forced,1000,7425024000,32000,9.5333,8.8000,10.6000,0.5625,0.8296,3
teacher-forced,2000,14850048000,64000,9.4667,8.8000,10.6000,0.5677,0.8122,3
self-forced,500,3823887360,16480,8.5333,7.8000,9.0000,0.5833,0.7619,3
self-forced,1000,7619930880,32840,9.4000,8.8000,10.4000,0.5781,0.7784,3
self-forced,2000,15239861760,65680,9.8000,9.2000,10.2000,0.5521,1.0818,3
noise-injected,500,3712512000,16000,8.9333,8.8000,9.0000,0.5625,1.0370,3
noise-injected,1000,7425024000,32000,8.3333,7.2000,9.0000,0.5677,1.0153,3
noise-injected,2000,14850048000,64000,9.0000,9.0000,9.0000,0.5677,1.0153,3
unrolled,500,3823887360,16480,9.4667,9.0000,10.2000,0.5677,1.2183,3
unrolled,1000,7619930880,32840,9.1333,9.0000,9.2000,0.5729,1.1927,3
unrolled,2000,15239861760,65680,9.1333,9.0000,9.2000,0.5781,1.1676,3
