arm,epsilon,h_free,h_lo,h_hi,p_one_step,eta0,n
teacher-forced,0.000,1.8000,1.5600,2.0400,0.2000,7.2000,5
teacher-forced,0.100,2.3200,2.0000,2.6800,0.2000,7.2000,5
teacher-forced,0.200,5.2800,4.5600,5.9600,0.2000,7.2000,5
teacher-forced,0.300,7.5200,7.1200,7.8400,0.2000,7.2000,5
teacher-forced,0.500,17.9600,15.5600,20.3200,0.2000,7.2000,5
self-forced,0.000,1.8400,1.6800,2.0400,0.1875,7.9733,5
self-forced,0.100,2.6800,2.2000,3.4800,0.1875,7.9733,5
self-forced,0.200,5.2400,4.3600,6.0800,0.1875,7.9733,5
self-forced,0.300,7.3600,6.4800,8.1600,0.1875,7.9733,5
self-forced,0.500,15.8000,14.8400,16.7600,0.1875,7.9733,5
noise-injected,0.000,1.8400,1.6400,2.0400,0.1969,7.5060,5
noise-injected,0.100,2.4800,2.0800,2.8800,0.1969,7.5060,5
noise-injected,0.200,4.5200,3.6400,5.6000,0.1969,7.5060,5
noise-injected,0.300,7.3600,6.3200,8.1600,0.1969,7.5060,5
noise-injected,0.500,16.5600,15.5600,17.4800,0.1969,7.5060,5
unrolled,0.000,1.8800,1.7200,2.0400,0.1906,7.9823,5
unrolled,0.100,2.7600,2.2800,3.4800,0.1906,7.9823,5
unrolled,0.200,5.6800,4.8000,6.4000,0.1906,7.9823,5
unrolled,0.300,7.6400,6.8000,8.1600,0.1906,7.9823,5
unrolled,0.500,16.8800,15.4800,18.6000,0.1906,7.9823,5
