world,budget,rho,spec_faithful,spec_lo,spec_hi,fix_faithful,fix_lo,fix_hi,spec_steps_per_call,fix_steps_per_call,n
network,2,0.016667,0.193750,0.146875,0.242361,0.303125,0.245139,0.363889,3.447917,18.187500,24
network,4,0.033333,0.326736,0.250000,0.411458,0.557986,0.508681,0.607986,4.296528,16.739583,24
network,6,0.050000,0.466667,0.376389,0.567014,0.657986,0.602083,0.711111,4.903770,13.159722,24
network,8,0.066667,0.670486,0.552778,0.786111,0.745139,0.713889,0.776389,6.014063,11.177083,24
network,12,0.100000,0.912500,0.849653,0.966319,0.830556,0.802778,0.858681,7.248355,8.305556,24
network,16,0.133333,0.995833,0.987500,1.000000,0.870486,0.850694,0.889931,7.764932,6.963889,24
network,24,0.200000,1.000000,1.000000,1.000000,0.913542,0.898264,0.928819,7.774001,4.567708,24
network,32,0.266667,1.000000,1.000000,1.000000,0.940278,0.929514,0.951042,7.774001,3.761111,24
host,2,0.016667,0.081250,0.060764,0.105903,0.120139,0.090972,0.160069,2.305556,7.208333,24
host,4,0.033333,0.150694,0.118056,0.192361,0.249653,0.211111,0.293403,2.525000,7.489583,24
host,6,0.050000,0.239583,0.208681,0.272569,0.365278,0.326042,0.403472,2.733135,7.305556,24
host,8,0.066667,0.347569,0.295833,0.407639,0.444444,0.409722,0.480903,3.307870,6.666667,24
host,12,0.100000,0.569097,0.501389,0.646181,0.618750,0.579514,0.654861,3.901587,6.187500,24
host,16,0.133333,0.808681,0.738194,0.875000,0.695139,0.663542,0.723611,4.597794,5.561111,24
host,24,0.200000,0.997222,0.991667,1.000000,0.822917,0.803125,0.841319,5.076905,4.114583,24
host,32,0.266667,1.000000,1.000000,1.000000,0.885764,0.869097,0.901736,5.081580,3.543056,24
filesystem,2,0.016667,0.069444,0.053472,0.089931,0.099653,0.075000,0.137500,2.187500,5.979167,24
filesystem,4,0.033333,0.129167,0.107292,0.153819,0.206597,0.177778,0.244792,2.225000,6.197917,24
filesystem,6,0.050000,0.195486,0.171875,0.221181,0.347917,0.309028,0.390625,2.354167,6.958333,24
filesystem,8,0.066667,0.253819,0.224653,0.286111,0.419444,0.387847,0.453819,2.465278,6.291667,24
filesystem,12,0.100000,0.441319,0.375694,0.521181,0.589583,0.555208,0.622222,2.932212,5.895833,24
filesystem,16,0.133333,0.662847,0.589583,0.743403,0.667708,0.639931,0.696875,3.535080,5.341667,24
filesystem,24,0.200000,0.991667,0.979167,1.000000,0.800347,0.782639,0.817361,4.560048,4.001736,24
filesystem,32,0.266667,1.000000,1.000000,1.000000,0.855903,0.839583,0.873611,4.608071,3.423611,24
