world,g,delta,epsilon,mean_prefix,pref_lo,pref_hi,alpha_hat,law_prefix,regime,n
network,0.500000,0.040000,0.020000,4.625000,3.858333,5.458333,0.828358,4.588903,discrete,120
network,1.000000,0.040000,0.040000,6.508333,5.550000,7.458333,0.882486,6.493503,transition,120
network,2.000000,0.040000,0.080000,10.825000,9.800000,11.850000,0.950256,10.658898,gradual,120
network,4.000000,0.040000,0.160000,14.800000,14.175000,15.358333,0.990519,14.769690,gradual,120
network,8.000000,0.040000,0.320000,15.975000,15.925000,16.000000,0.999479,15.929277,gradual,120
host,0.500000,0.024390,0.012195,3.441667,2.808333,4.150000,0.779245,3.464669,discrete,120
host,1.000000,0.024390,0.024390,4.608333,3.891667,5.375000,0.827844,4.574701,transition,120
host,2.000000,0.024390,0.048780,7.375000,6.525000,8.275000,0.893939,7.026781,gradual,120
host,4.000000,0.024390,0.097561,11.066667,10.200000,11.983333,0.947894,10.464366,gradual,120
host,8.000000,0.024390,0.195122,13.625000,12.816667,14.375000,0.976703,13.172272,gradual,120
filesystem,0.500000,0.011365,0.005683,3.066667,2.508333,3.733333,0.757202,3.082223,discrete,120
filesystem,1.000000,0.011365,0.011365,4.491667,3.733333,5.283333,0.824159,4.474599,transition,120
filesystem,2.000000,0.011365,0.022730,7.450000,6.541667,8.350000,0.896690,7.163336,gradual,120
filesystem,4.000000,0.011365,0.045460,10.808333,9.791667,11.850000,0.946715,10.368896,gradual,120
filesystem,8.000000,0.011365,0.090921,13.183333,12.316667,14.075000,0.978960,13.418623,gradual,120
